fips2010,rent_50_0,rent_50_1,rent_50_2,rent_50_3,rent_50_4,state,county,cousub,pop2017,hu2017,state_alpha
4805999999,673,699,920,1209,1560,48,59,99999,13660,6637,TX
4825399999,673,699,920,1209,1560,48,253,99999,19970,7292,TX
4844199999,673,699,920,1209,1560,48,441,99999,135370,56978,TX
7200399999,386,397,452,591,713,72,3,99999,39470,17385,PR
7200599999,386,397,452,591,713,72,5,99999,55720,27301,PR
7201199999,386,397,452,591,713,72,11,99999,27890,12557,PR
7207199999,386,397,452,591,713,72,71,99999,43315,20354,PR
7208199999,386,397,452,591,713,72,81,99999,27320,12228,PR
7209999999,386,397,452,591,713,72,99,99999,37675,15744,PR
7211799999,386,397,452,591,713,72,117,99999,14525,9447,PR
7213199999,386,397,452,591,713,72,131,99999,38970,17733,PR
7214199999,379,390,444,553,601,72,141,99999,30210,13315,PR
3913399999,600,709,912,1147,1235,39,133,99999,162080,68623,OH
3915399999,600,709,912,1147,1235,39,153,99999,541320,245731,OH
1300799999,643,666,791,1031,1151,13,7,99999,3250,1770,GA
1309599999,643,666,791,1031,1151,13,95,99999,91520,40702,GA
1317799999,643,666,791,1031,1151,13,177,99999,29215,10877,GA
1327399999,643,666,791,1031,1151,13,273,99999,8980,4177,GA
1332199999,643,666,791,1031,1151,13,321,99999,20810,9316,GA
4104399999,758,875,1153,1643,1919,41,43,99999,121075,49688,OR
3600199999,806,922,1136,1416,1539,36,1,99999,308580,140088,NY
3608399999,806,922,1136,1416,1539,36,83,99999,159800,72663,NY
3609199999,806,922,1136,1416,1539,36,91,99999,226630,103766,NY
3609399999,806,922,1136,1416,1539,36,93,99999,155240,69062,NY
3609599999,806,922,1136,1416,1539,36,95,99999,31610,17465,NY
3500199999,612,764,940,1356,1614,35,1,99999,674855,291099,NM
3504399999,612,764,940,1356,1614,35,43,99999,138815,55163,NM
3505799999,612,764,940,1356,1614,35,57,99999,15535,7990,NM
3506199999,612,764,940,1356,1614,35,61,99999,75845,30894,NM
2204399999,556,687,853,1122,1271,22,43,99999,22305,9201,LA
2207999999,556,687,853,1122,1271,22,79,99999,132080,57515,LA
4202599999,742,861,1098,1421,1487,42,25,99999,63985,34703,PA
4207799999,742,861,1098,1421,1487,42,77,99999,360775,145096,PA
4209599999,742,861,1098,1421,1487,42,95,99999,300940,122452,PA
3404199999,891,1017,1246,1553,1688,34,41,99999,107090,45398,NJ
4201399999,595,654,817,1018,1107,42,13,99999,124735,56646,PA
4801199999,638,723,934,1276,1428,48,11,99999,1930,922,TX
4806599999,638,723,934,1276,1428,48,65,99999,6035,2784,TX
4837599999,638,723,934,1276,1428,48,375,99999,121230,49395,TX
4838199999,638,723,934,1276,1428,48,381,99999,130550,53955,TX
4835999999,689,782,1010,1259,1544,48,359,99999,2085,743,TX
1916999999,720,744,903,1255,1493,19,169,99999,95890,38783,IA
202099999,994,1054,1388,2002,2437,2,20,99999,298225,115748,AK
217099999,785,839,1105,1594,1940,2,170,99999,101135,41704,AK
2616199999,983,1007,1228,1579,1930,26,161,99999,361510,149651,MI
101599999,490,556,732,952,1121,1,15,99999,115525,53655,AL
5501599999,640,667,866,1202,1206,55,15,99999,49735,20317,WI
