state_code,county,cousub,rent_50_0,rent_50_1,rent_50_2,rent_50_3,rent_50_4,pop2017
48,59,99999,715,760,981,1337,1658,13660
48,253,99999,715,760,981,1337,1658,19970
48,441,99999,715,760,981,1337,1658,135370
72,3,99999,407,423,486,604,711,39470
72,5,99999,407,423,486,604,711,55720
72,11,99999,407,423,486,604,711,27890
72,71,99999,407,423,486,604,711,43315
72,81,99999,407,423,486,604,711,27320
72,99,99999,407,423,486,604,711,37675
72,117,99999,407,423,486,604,711,14525
72,131,99999,407,423,486,604,711,38970
72,141,99999,407,423,486,604,711,30210
39,133,99999,653,751,953,1206,1292,162080
39,153,99999,653,751,953,1206,1292,541320
13,95,99999,711,737,865,1121,1359,91520
13,177,99999,711,737,865,1121,1359,29215
13,273,99999,711,737,865,1121,1359,8980
13,321,99999,711,737,865,1121,1359,20810
41,43,99999,854,915,1203,1674,1965,121075
36,1,99999,959,1068,1301,1608,1764,308580
36,83,99999,959,1068,1301,1608,1764,159800
36,91,99999,959,1068,1301,1608,1764,226630
36,93,99999,959,1068,1301,1608,1764,155240
36,95,99999,959,1068,1301,1608,1764,31610
35,1,99999,716,883,1071,1521,1833,674855
35,43,99999,716,883,1071,1521,1833,138815
35,57,99999,716,883,1071,1521,1833,15535
35,61,99999,716,883,1071,1521,1833,75845
22,43,99999,577,676,868,1165,1268,22305
22,79,99999,577,676,868,1165,1268,132080
42,25,99999,898,1011,1288,1660,1747,63985
42,77,99999,898,1011,1288,1660,1747,360775
42,95,99999,898,1011,1288,1660,1747,300940
34,41,99999,1058,1192,1461,1806,1999,107090
42,13,99999,596,731,895,1106,1214,124735
48,11,99999,664,761,970,1314,1518,1930
48,65,99999,664,761,970,1314,1518,6035
48,375,99999,664,761,970,1314,1518,121230
48,381,99999,664,761,970,1314,1518,130550
48,359,99999,707,811,1034,1278,1618,2085
19,169,99999,830,841,994,1412,1667,95890
19,15,99999,641,645,843,1113,1399,26380
2,20,99999,938,1015,1335,1896,2285,298225
2,170,99999,788,836,1096,1557,1876,101135
26,161,99999,1136,1137,1369,1692,1970,361510
1,15,99999,595,599,788,1046,1177,115525
55,15,99999,684,728,936,1265,1269,49735
55,87,99999,684,728,936,1265,1269,183290
72,13,99999,421,428,488,651,770,89550
72,27,99999,421,428,488,651,770,32935
72,65,99999,421,428,488,651,770,40980
72,115,99999,421,428,488,651,770,24550
37,21,99999,1245,1267,1444,1969,2472,252270
37,89,99999,1245,1267,1444,1969,2472,112155
37,115,99999,1245,1267,1444,1969,2472,21345
37,87,99999,701,905,1031,1281,1564,59855
13,59,99999,784,832,957,1281,1500,123555
13,195,99999,784,832,957,1281,1500,28600
13,219,99999,784,832,957,1281,1500,35970
13,221,99999,784,832,957,1281,1500,14655
13,13,99999,1205,1226,1397,1730,2115,75100
13,15,99999,1205,1226,1397,1730,2115,102625
13,45,99999,1205,1226,1397,1730,2115,114900
13,57,99999,1205,1226,1397,1730,2115,235895
13,63,99999,1205,1226,1397,1730,2115,274150
13,67,99999,1205,1226,1397,1730,2115,739070
13,77,99999,1205,1226,1397,1730,2115,138015
13,85,99999,1205,1226,1397,1730,2115,23395
13,89,99999,1205,1226,1397,1730,2115,736065
13,97,99999,1205,1226,1397,1730,2115,140150
13,113,99999,1205,1226,1397,1730,2115,110305
13,117,99999,1205,1226,1397,1730,2115,211300
13,121,99999,1205,1226,1397,1730,2115,1010420
13,135,99999,1205,1226,1397,1730,2115,889955
13,149,99999,1205,1226,1397,1730,2115,11605
13,151,99999,1205,1226,1397,1730,2115,217505
13,159,99999,1205,1226,1397,1730,2115,13730
13,217,99999,1205,1226,1397,1730,2115,105040
13,223,99999,1205,1226,1397,1730,2115,152400
13,227,99999,1205,1226,1397,1730,2115,30345
13,231,99999,1205,1226,1397,1730,2115,17920
13,247,99999,1205,1226,1397,1730,2115,88480
13,255,99999,1205,1226,1397,1730,2115,64190
13,297,99999,1205,1226,1397,1730,2115,88695
13,35,99999,730,735,967,1270,1447,23555
13,143,99999,690,695,852,1210,1458,28720
13,171,99999,630,635,835,1070,1266,18280
13,199,99999,709,714,939,1181,1273,21150
13,211,99999,726,731,962,1224,1647,18015
34,1,99999,1010,1181,1502,2106,2330,272925
1,81,99999,713,748,980,1297,1467,156595
13,33,99999,741,854,980,1328,1657,22645
13,73,99999,741,854,980,1328,1657,143725
13,189,99999,741,854,980,1328,1657,21490
13,245,99999,741,854,980,1328,1657,201570
45,3,99999,741,854,980,1328,1657,165705
45,37,99999,741,854,980,1328,1657,26620
13,181,99999,598,690,789,1092,1096,7770
48,21,99999,1177,1333,1565,2013,2367,80305
48,55,99999,1177,1333,1565,2013,2367,40545
48,209,99999,1177,1333,1565,2013,2367,194845
48,453,99999,1177,1333,1565,2013,2367,1176585
48,491,99999,1177,1333,1565,2013,2367,508315
6,29,99999,816,826,1083,1538,1854,878745
24,3,99999,1037,1223,1518,1968,2258,564600
24,5,99999,1037,1223,1518,1968,2258,828635
24,13,99999,1037,1223,1518,1968,2258,167320
24,25,99999,1037,1223,1518,1968,2258,250130
24,27,99999,1037,1223,1518,1968,2258,312495
24,35,99999,1037,1223,1518,1968,2258,49070
24,510,99999,1037,1223,1518,1968,2258,619795
23,19,2795,776,894,1154,1431,1748,32235
23,19,6925,776,894,1154,1431,1748,9165
23,19,22535,776,894,1154,1431,1748,2135
23,19,27645,776,894,1154,1431,1748,4575
23,19,30795,776,894,1154,1431,1748,7315
23,19,32510,776,894,1154,1431,1748,5790
23,19,33490,776,894,1154,1431,1748,3070
23,19,36325,776,894,1154,1431,1748,1140
23,19,45670,776,894,1154,1431,1748,3000
23,19,55225,776,894,1154,1431,1748,7595
23,19,55565,776,894,1154,1431,1748,10915
23,19,55680,776,894,1154,1431,1748,3675
23,19,57936,776,894,1154,1431,1748,785
23,19,78780,776,894,1154,1431,1748,1960
23,19,1115,705,770,1013,1256,1374,950
23,19,1500,705,770,1013,1256,1374,195
23,19,6575,705,770,1013,1256,1374,1105
23,19,6680,705,770,1013,1256,1374,1480
23,19,9200,705,770,1013,1256,1374,255
23,19,10670,705,770,1013,1256,1374,2790
23,19,10810,705,770,1013,1256,1374,135
23,19,12105,705,770,1013,1256,1374,1470
23,19,12525,705,770,1013,1256,1374,545
23,19,13365,705,770,1013,1256,1374,730
23,19,14310,705,770,1013,1256,1374,1920
23,19,14380,705,770,1013,1256,1374,2840
23,19,17530,705,770,1013,1256,1374,3765
23,19,17950,705,770,1013,1256,1374,1270
23,19,18580,705,770,1013,1256,1374,25
23,19,19868,705,770,1013,1256,1374,210
23,19,21030,705,770,1013,1256,1374,1785
23,19,22710,705,770,1013,1256,1374,120
23,19,23620,705,770,1013,1256,1374,1530
23,19,23865,705,770,1013,1256,1374,1140
23,19,24110,705,770,1013,1256,1374,1060
23,19,27190,705,770,1013,1256,1374,1235
23,19,29185,705,770,1013,1256,1374,1390
23,19,34190,705,770,1013,1256,1374,1205
23,19,34365,705,770,1013,1256,1374,1690
23,19,37075,705,770,1013,1256,1374,90
23,19,37760,705,770,1013,1256,1374,640
23,19,38005,705,770,1013,1256,1374,90
23,19,38530,705,770,1013,1256,1374,945
23,19,38705,705,770,1013,1256,1374,2940
23,19,39475,705,770,1013,1256,1374,4985
23,19,41435,705,770,1013,1256,1374,360
23,19,44270,705,770,1013,1256,1374,855
23,19,44340,705,770,1013,1256,1374,130
23,19,45005,705,770,1013,1256,1374,1100
23,19,45810,705,770,1013,1256,1374,4345
23,19,47560,705,770,1013,1256,1374,210
23,19,48505,705,770,1013,1256,1374,1575
23,19,49065,705,770,1013,1256,1374,3250
23,19,52710,705,770,1013,1256,1374,400
23,19,57045,705,770,1013,1256,1374,480
23,19,57150,705,770,1013,1256,1374,890
23,19,59950,705,770,1013,1256,1374,1290
23,19,60790,705,770,1013,1256,1374,275
23,19,67160,705,770,1013,1256,1374,55
23,19,73250,705,770,1013,1256,1374,365
23,19,73600,705,770,1013,1256,1374,425
23,19,74055,705,770,1013,1256,1374,1460
23,19,78015,705,770,1013,1256,1374,0
23,19,81055,705,770,1013,1256,1374,70
23,19,85230,705,770,1013,1256,1374,0
23,19,86305,705,770,1013,1256,1374,560
23,19,87390,705,770,1013,1256,1374,270
25,1,3690,1319,1509,1985,2454,2692,44325
25,1,7175,1319,1509,1985,2454,2692,19815
25,1,7980,1319,1509,1985,2454,2692,9855
25,1,12995,1319,1509,1985,2454,2692,6150
25,1,16775,1319,1509,1985,2454,2692,13990
25,1,19295,1319,1509,1985,2454,2692,4910
25,1,23105,1319,1509,1985,2454,2692,31255
25,1,29020,1319,1509,1985,2454,2692,12145
25,1,39100,1319,1509,1985,2454,2692,14055
25,1,51440,1319,1509,1985,2454,2692,5825
25,1,55500,1319,1509,1985,2454,2692,2950
25,1,59735,1319,1509,1985,2454,2692,20415
25,1,70605,1319,1509,1985,2454,2692,1580
25,1,74385,1319,1509,1985,2454,2692,3170
25,1,82525,1319,1509,1985,2454,2692,23460
22,5,99999,799,838,985,1246,1554,119130
22,33,99999,799,838,985,1246,1554,446165
22,37,99999,799,838,985,1246,1554,19555
22,63,99999,799,838,985,1246,1554,137095
22,77,99999,799,838,985,1246,1554,22270
22,91,99999,799,838,985,1246,1554,10510
22,121,99999,799,838,985,1246,1554,25520
22,125,99999,799,838,985,1246,1554,15375
22,7,99999,652,702,800,1105,1256,22880
22,47,99999,639,661,785,1075,1135,33120
26,25,99999,646,718,902,1170,1269,134325
26,17,99999,573,671,863,1132,1227,105350
48,199,99999,791,844,1039,1356,1409,55995
48,245,99999,791,844,1039,1356,1409,254575
48,361,99999,791,844,1039,1356,1409,83910
54,19,99999,542,613,763,1046,1098,44600
54,81,99999,640,672,797,1132,1357,77095
53,73,99999,995,1069,1347,1913,2306,212740
41,17,99999,936,1134,1409,2001,2412,175320
30,9,99999,687,777,1022,1399,1643,10465
30,111,99999,687,777,1022,1399,1643,156330
30,95,99999,624,706,929,1320,1573,9340
36,7,99999,668,705,902,1199,1324,196125
36,107,99999,668,705,902,1199,1324,49320
1,7,99999,834,895,1029,1331,1436,22580
1,9,99999,834,895,1029,1331,1436,57665
1,73,99999,834,895,1029,1331,1436,659460
1,115,99999,834,895,1029,1331,1436,86935
1,117,99999,834,895,1029,1331,1436,208720
1,21,99999,622,660,752,1044,1047,43805
38,15,99999,779,783,935,1328,1532,92370
38,59,99999,779,783,935,1328,1532,30060
38,65,99999,779,783,935,1328,1532,1820
51,121,99999,796,858,1002,1423,1715,97690
51,750,99999,796,858,1002,1423,1715,17380
51,71,99999,512,639,728,973,1036,16865
51,155,99999,610,637,726,1014,1243,34330
17,113,99999,653,754,933,1313,1581,173230
18,105,99999,747,851,1028,1449,1760,144435
18,119,99999,614,618,804,1142,1376,20955
42,37,99999,769,781,913,1129,1238,66615
42,93,99999,785,829,973,1315,1319,18300
16,1,99999,827,947,1181,1665,1945,435115
16,15,99999,827,947,1181,1665,1945,6970
16,27,99999,827,947,1181,1665,1945,207025
16,73,99999,827,947,1181,1665,1945,11385
16,45,99999,695,794,990,1309,1459,16850
25,9,1260,1942,2139,2583,3193,3503,17220
25,9,5595,1942,2139,2583,3193,3503,41430
25,9,16250,1942,2139,2583,3193,3503,27525
25,9,21850,1942,2139,2583,3193,3503,3685
25,9,26150,1942,2139,2583,3193,3503,29860
25,9,27900,1942,2139,2583,3193,3503,7990
25,9,32310,1942,2139,2583,3193,3503,13810
25,9,37490,1942,2139,2583,3193,3503,93070
25,9,37560,1942,2139,2583,3193,3503,12730
25,9,37995,1942,2139,2583,3193,3503,5325
25,9,38400,1942,2139,2583,3193,3503,20395
