state_code,county_code,cousub,fips2010,rent_50_0,rent_50_1,rent_50_2,rent_50_3,rent_50_4,pop2020,state_alpha
48,59,99999,4805999999,760,808,1044,1412,1711,13959,TX
48,253,99999,4825399999,760,808,1044,1412,1711,19874,TX
48,441,99999,4844199999,760,808,1044,1412,1711,137521,TX
72,3,99999,7200399999,405,444,512,630,714,37307,PR
72,5,99999,7200599999,405,444,512,630,714,51552,PR
72,11,99999,7201199999,405,444,512,630,714,26555,PR
72,71,99999,7207199999,405,444,512,630,714,41084,PR
72,81,99999,7208199999,405,444,512,630,714,24945,PR
72,99,99999,7209999999,405,444,512,630,714,35547,PR
72,117,99999,7211799999,405,444,512,630,714,13849,PR
72,131,99999,7213199999,405,444,512,630,714,36292,PR
72,141,99999,7214199999,405,444,512,630,714,28041,PR
39,133,99999,3913399999,762,867,1100,1389,1478,162476,OH
39,153,99999,3915399999,762,867,1100,1389,1478,540810,OH
13,95,99999,1309599999,787,800,942,1234,1501,88696,GA
13,177,99999,1317799999,787,800,942,1234,1501,29735,GA
13,273,99999,1327399999,787,800,942,1234,1501,8654,GA
13,321,99999,1332199999,787,800,942,1234,1501,20346,GA
41,43,99999,4104399999,948,1062,1342,1836,2146,127216,OR
36,1,99999,3600199999,1045,1166,1418,1726,1905,306165,NY
36,83,99999,3608399999,1045,1166,1418,1726,1905,159013,NY
36,91,99999,3609199999,1045,1166,1418,1726,1905,229313,NY
36,93,99999,3609399999,1045,1166,1418,1726,1905,155086,NY
36,95,99999,3609599999,1045,1166,1418,1726,1905,31189,NY
35,1,99999,3500199999,822,1012,1229,1747,2093,679037,NM
35,43,99999,3504399999,822,1012,1229,1747,2093,144954,NM
35,57,99999,3505799999,822,1012,1229,1747,2093,15477,NM
35,61,99999,3506199999,822,1012,1229,1747,2093,76518,NM
22,43,99999,2204399999,629,714,940,1274,1367,22339,LA
22,79,99999,2207999999,629,714,940,1274,1367,130376,LA
42,25,99999,4202599999,1042,1188,1505,1929,2022,63964,PA
42,77,99999,4207799999,1042,1188,1505,1929,2022,367338,PA
42,95,99999,4209599999,1042,1188,1505,1929,2022,304233,PA
34,41,99999,3404199999,1227,1358,1638,2031,2343,105730,NJ
