FIPS Code,State and area,Year,Month,Population,Labor_Force_Total,Labor_Force_Percent_of_Population,Employment_Total,Employment_Percent_of_Population,Unemployment_Total,Unemployment_Rate
01,Alabama,2018,01,"3,901,863   ","2,215,937   ",56.8   ,"2,127,350   ",54.5   ,"88,587   ",4.0   
02,Alaska,2018,01,"546,187   ","357,116   ",65.4   ,"334,533   ",61.2   ,"22,583   ",6.3   
04,Arizona,2018,01,"5,391,663   ","3,273,805   ",60.7   ,"3,115,713   ",57.8   ,"158,092   ",4.8   
05,Arkansas,2018,01,"2,317,633   ","1,346,988   ",58.1   ,"1,296,221   ",55.9   ,"50,767   ",3.8   
06,California,2018,01,"30,902,260   ","19,198,144   ",62.1   ,"18,354,112   ",59.4   ,"844,032   ",4.4   
037,Los Angeles County,2018,01,"8,083,294   ","5,113,216   ",63.3   ,"4,875,999   ",60.3   ,"237,217   ",4.6   
08,Colorado,2018,01,"4,417,840   ","3,011,265   ",68.2   ,"2,925,684   ",66.2   ,"85,581   ",2.8   
09,Connecticut,2018,01,"2,906,619   ","1,914,126   ",65.9   ,"1,833,522   ",63.1   ,"80,604   ",4.2   
10,Delaware,2018,01,"768,869   ","477,849   ",62.1   ,"458,014   ",59.6   ,"19,835   ",4.2   
11,District of Columbia,2018,01,"560,286   ","395,364   ",70.6   ,"372,122   ",66.4   ,"23,242   ",5.9   
12,Florida,2018,01,"16,959,248   ","10,025,901   ",59.1   ,"9,626,354   ",56.8   ,"399,547   ",4.0   
13,Georgia,2018,01,"8,050,980   ","5,121,349   ",63.6   ,"4,899,971   ",60.9   ,"221,378   ",4.3   
15,Hawaii,2018,01,"1,123,142   ","691,605   ",61.6   ,"677,395   ",60.3   ,"14,210   ",2.1   
16,Idaho,2018,01,"1,331,725   ","851,950   ",64.0   ,"826,388   ",62.1   ,"25,562   ",3.0   
17,Illinois,2018,01,"10,139,676   ","6,561,374   ",64.7   ,"6,262,881   ",61.8   ,"298,493   ",4.5   
18,Indiana,2018,01,"5,208,438   ","3,349,148   ",64.3   ,"3,239,726   ",62.2   ,"109,422   ",3.3   
19,Iowa,2018,01,"2,470,616   ","1,696,976   ",68.7   ,"1,650,712   ",66.8   ,"46,264   ",2.7   
20,Kansas,2018,01,"2,231,071   ","1,482,526   ",66.4   ,"1,432,375   ",64.2   ,"50,151   ",3.4   
21,Kentucky,2018,01,"3,497,264   ","2,049,084   ",58.6   ,"1,962,252   ",56.1   ,"86,832   ",4.2   
22,Louisiana,2018,01,"3,585,779   ","2,112,103   ",58.9   ,"2,012,307   ",56.1   ,"99,796   ",4.7   
23,Maine,2018,01,"1,109,692   ","700,748   ",63.1   ,"679,668   ",61.2   ,"21,080   ",3.0   
24,Maryland,2018,01,"4,813,568   ","3,247,795   ",67.5   ,"3,120,450   ",64.8   ,"127,345   ",3.9   
25,Massachusetts,2018,01,"5,677,489   ","3,762,462   ",66.3   ,"3,624,159   ",63.8   ,"138,303   ",3.7   
26,Michigan,2018,01,"8,018,123   ","4,921,307   ",61.4   ,"4,699,003   ",58.6   ,"222,304   ",4.5   
27,Minnesota,2018,01,"4,401,283   ","3,076,015   ",69.9   ,"2,976,627   ",67.6   ,"99,388   ",3.2   
28,Mississippi,2018,01,"2,282,774   ","1,267,217   ",55.5   ,"1,205,247   ",52.8   ,"61,970   ",4.9   
29,Missouri,2018,01,"4,784,418   ","3,043,895   ",63.6   ,"2,938,178   ",61.4   ,"105,717   ",3.5   
30,Montana,2018,01,"841,718   ","529,615   ",62.9   ,"508,842   ",60.5   ,"20,773   ",3.9   
31,Nebraska,2018,01,"1,479,661   ","1,026,340   ",69.4   ,"996,235   ",67.3   ,"30,105   ",2.9   
32,Nevada,2018,01,"2,335,050   ","1,470,869   ",63.0   ,"1,398,904   ",59.9   ,"71,965   ",4.9   
33,New Hampshire,2018,01,"1,117,207   ","760,685   ",68.1   ,"739,780   ",66.2   ,"20,905   ",2.7   
34,New Jersey,2018,01,"7,294,387   ","4,594,473   ",63.0   ,"4,392,214   ",60.2   ,"202,259   ",4.4   
35,New Mexico,2018,01,"1,631,201   ","945,574   ",58.0   ,"895,943   ",54.9   ,"49,631   ",5.2   
36,New York,2018,01,"16,202,309   ","9,811,681   ",60.6   ,"9,373,350   ",57.9   ,"438,331   ",4.5   
51000,New York city,2018,01,"7,099,644   ","4,282,997   ",60.3   ,"4,100,296   ",57.8   ,"182,701   ",4.3   
37,North Carolina,2018,01,"7,988,051   ","4,886,490   ",61.2   ,"4,680,427   ",58.6   ,"206,063   ",4.2   
38,North Dakota,2018,01,"588,893   ","413,862   ",70.3   ,"402,974   ",68.4   ,"10,888   ",2.6   
39,Ohio,2018,01,"9,255,046   ","5,792,326   ",62.6   ,"5,527,995   ",59.7   ,"264,331   ",4.6   
40,Oklahoma,2018,01,"2,992,340   ","1,834,763   ",61.3   ,"1,767,077   ",59.1   ,"67,686   ",3.7   
41,Oregon,2018,01,"3,350,118   ","2,080,424   ",62.1   ,"1,996,142   ",59.6   ,"84,282   ",4.1   
42,Pennsylvania,2018,01,"10,375,938   ","6,467,667   ",62.3   ,"6,156,855   ",59.3   ,"310,812   ",4.8   
44,Rhode Island,2018,01,"885,256   ","569,323   ",64.3   ,"543,936   ",61.4   ,"25,387   ",4.5   
45,South Carolina,2018,01,"3,925,277   ","2,258,710   ",57.5   ,"2,170,870   ",55.3   ,"87,840   ",3.9   
