,date
0,2018-02-25
1,2018-03-04
2,2018-03-11
3,2018-03-18
4,2018-03-25
5,2018-04-01
6,2018-04-08
7,2018-04-15
8,2018-04-22
9,2018-04-29
10,2018-05-06
11,2018-05-13
12,2018-05-20
13,2018-05-27
14,2018-06-03
15,2018-06-10
16,2018-06-17
17,2018-06-24
18,2018-07-01
19,2018-07-08
20,2018-07-15
21,2018-07-22
22,2018-07-29
23,2018-08-05
24,2018-08-12
25,2018-08-19
26,2018-08-26
27,2018-09-02
28,2018-09-09
29,2018-09-16
30,2018-09-23
31,2018-09-30
32,2018-10-07
33,2018-10-14
34,2018-10-21
35,2018-10-28
36,2018-11-04
37,2018-11-11
38,2018-11-18
39,2018-11-25
40,2018-12-02
41,2018-12-09
42,2018-12-16
43,2018-12-23
44,2018-12-30
45,2019-01-06
46,2019-01-13
47,2019-01-20
48,2019-01-27
49,2019-02-03
50,2019-02-10
51,2019-02-17
52,2019-02-24
53,2019-03-03
54,2019-03-10
55,2019-03-17
56,2019-03-24
57,2019-03-31
58,2019-04-07
59,2019-04-14
60,2019-04-21
61,2019-04-28
62,2019-05-05
63,2019-05-12
64,2019-05-19
65,2019-05-26
66,2019-06-02
67,2019-06-09
68,2019-06-16
69,2019-06-23
70,2019-06-30
71,2019-07-07
72,2019-07-14
73,2019-07-21
74,2019-07-28
75,2019-08-04
76,2019-08-11
77,2019-08-18
78,2019-08-25
79,2019-09-01
80,2019-09-08
81,2019-09-15
82,2019-09-22
83,2019-09-29
84,2019-10-06
85,2019-10-13
86,2019-10-20
87,2019-10-27
88,2019-11-03
89,2019-11-10
90,2019-11-17
91,2019-11-24
92,2019-12-01
93,2019-12-08
94,2019-12-15
95,2019-12-22
96,2019-12-29
97,2020-01-05
98,2020-01-12
99,2020-01-19
100,2020-01-26
101,2020-02-02
102,2020-02-09
103,2020-02-16
104,2020-02-23
105,2020-03-01
106,2020-03-08
107,2020-03-15
108,2020-03-22
109,2020-03-29
110,2020-04-05
111,2020-04-12
112,2020-04-19
113,2020-04-26
114,2020-05-03
115,2020-05-10
116,2020-05-17
117,2020-05-24
118,2020-05-31
119,2020-06-07
120,2020-06-14
121,2020-06-21
122,2020-06-28
123,2020-07-05
124,2020-07-12
125,2020-07-19
126,2020-07-26
127,2020-08-02
128,2020-08-09
129,2020-08-16
130,2020-08-23
131,2020-08-30
132,2020-09-06
133,2020-09-13
134,2020-09-20
135,2020-09-27
136,2020-10-04
137,2020-10-11
138,2020-10-18
139,2020-10-25
140,2020-11-01
141,2020-11-08
142,2020-11-15
143,2020-11-22
144,2020-11-29
145,2020-12-06
146,2020-12-13
147,2020-12-20
148,2020-12-27
149,2021-01-03
150,2021-01-10
151,2021-01-17
152,2021-01-24
153,2021-01-31
154,2021-02-07
155,2021-02-14
156,2021-02-21
157,2021-02-28
158,2021-03-07
159,2021-03-14
160,2021-03-21
161,2021-03-28
162,2021-04-04
163,2021-04-11
164,2021-04-18
165,2021-04-25
166,2021-05-02
167,2021-05-09
168,2021-05-16
169,2021-05-23
170,2021-05-30
171,2021-06-06
172,2021-06-13
173,2021-06-20
174,2021-06-27
175,2021-07-04
176,2021-07-11
177,2021-07-18
178,2021-07-25
179,2021-08-01
180,2021-08-08
181,2021-08-15
182,2021-08-22
183,2021-08-29
184,2021-09-05
185,2021-09-12
186,2021-09-19
187,2021-09-26
188,2021-10-03
189,2021-10-10
190,2021-10-17
191,2021-10-24
192,2021-10-31
193,2021-11-07
194,2021-11-14
195,2021-11-21
196,2021-11-28
197,2021-12-05
198,2021-12-12
199,2021-12-19
200,2021-12-26
201,2022-01-02
202,2022-01-09
203,2022-01-16
204,2022-01-23
205,2022-01-30
206,2022-02-06
207,2022-02-13
208,2022-02-20
209,2022-02-27
210,2022-03-06
211,2022-03-13
212,2022-03-20
213,2022-03-27
214,2022-04-03
215,2022-04-10
216,2022-04-17
217,2022-04-24
218,2022-05-01
219,2022-05-08
220,2022-05-15
221,2022-05-22
222,2022-05-29
223,2022-06-05
224,2022-06-12
225,2022-06-19
226,2022-06-26
227,2022-07-03
228,2022-07-10
229,2022-07-17
230,2022-07-24
231,2022-07-31
232,2022-08-07
233,2022-08-14
234,2022-08-21
235,2022-08-28
236,2022-09-04
237,2022-09-11
238,2022-09-18
239,2022-09-25
240,2022-10-02
241,2022-10-09
242,2022-10-16
243,2022-10-23
244,2022-10-30
245,2022-11-06
246,2022-11-13
247,2022-11-20
248,2022-11-27
249,2022-12-04
250,2022-12-11
251,2022-12-18
252,2022-12-25
253,2023-01-01
254,2023-01-08
255,2023-01-15
256,2023-01-22
257,2023-01-29
258,2023-02-05
259,2023-02-12
260,2023-02-19
