cfips,longitude,latitude,area,pop_per_sq_meter
01001,,,,
01003,,,,
01005,,,,
01007,,,,
01009,,,,
01011,,,,
01013,,,,
01015,,,,
01017,,,,
01019,,,,
01021,,,,
01023,,,,
01025,,,,
01027,,,,
01029,,,,
01031,,,,
01033,,,,
01035,,,,
01037,,,,
01039,,,,
01041,,,,
01043,,,,
01045,,,,
01047,,,,
01049,,,,
01051,,,,
01053,,,,
01055,,,,
01057,,,,
01059,,,,
01061,,,,
01063,,,,
01065,,,,
01067,,,,
01069,,,,
01071,,,,
01073,,,,
01075,,,,
01077,,,,
01079,,,,
01081,,,,
01083,,,,
01085,,,,
01087,,,,
01089,,,,
01091,,,,
01093,,,,
01095,,,,
01097,,,,
01099,,,,
01101,,,,
01103,,,,
01105,,,,
01107,,,,
01109,,,,
01111,,,,
01113,,,,
01115,,,,
01117,,,,
01119,,,,
01121,,,,
01123,,,,
01125,,,,
01127,,,,
01129,,,,
01131,,,,
01133,,,,
02013,,,,
02016,,,,
02020,,,,
02050,,,,
02060,,,,
02068,,,,
02070,,,,
02090,,,,
02100,,,,
02105,,,,
02110,,,,
02122,,,,
02130,,,,
02150,,,,
02158,,,,
02164,,,,
02170,,,,
02180,,,,
02185,,,,
02188,,,,
02195,,,,
02198,,,,
02220,,,,
02230,,,,
02240,,,,
02261,,,,
02275,,,,
02282,,,,
02290,,,,
04001,,,,
04003,,,,
04005,,,,
04007,,,,
04009,,,,
04011,,,,
04012,,,,
04013,,,,
04015,,,,
04017,,,,
04019,,,,
04021,,,,
04023,,,,
04025,,,,
04027,,,,
05001,,,,
05003,,,,
05005,,,,
05007,,,,
05009,,,,
05011,,,,
05013,,,,
05015,,,,
05017,,,,
05019,,,,
05021,,,,
05023,,,,
05025,,,,
05027,,,,
05029,,,,
05031,,,,
05033,,,,
05035,,,,
05037,,,,
05039,,,,
05041,,,,
05043,,,,
05045,,,,
05047,,,,
05049,,,,
05051,,,,
05053,,,,
05055,,,,
05057,,,,
05059,,,,
05061,,,,
05063,,,,
05065,,,,
05067,,,,
05069,,,,
05071,,,,
05073,,,,
05075,,,,
05077,,,,
05079,,,,
05081,,,,
05083,,,,
05085,,,,
05087,,,,
05089,,,,
05091,,,,
05093,,,,
05095,,,,
05097,,,,
05099,,,,
05101,,,,
05103,,,,
05105,,,,
05107,,,,
05109,,,,
05111,,,,
05113,,,,
05115,,,,
05117,,,,
05119,,,,
05121,,,,
05123,,,,
05125,,,,
05127,,,,
05129,,,,
05131,,,,
05133,,,,
05135,,,,
05137,,,,
05139,,,,
05141,,,,
05143,,,,
05145,,,,
05147,,,,
05149,,,,
06001,,,,
06003,,,,
06005,,,,
06007,,,,
06009,,,,
06011,,,,
06013,,,,
06015,,,,
06017,,,,
06019,,,,
06021,,,,
06023,,,,
06025,,,,
06027,,,,
06029,,,,
06031,,,,
06033,,,,
06035,,,,
06037,,,,
06039,,,,
06041,,,,
06043,,,,
06045,,,,
06047,,,,
06049,,,,
06051,,,,
06053,,,,
06055,,,,
06057,,,,
06059,,,,
06061,,,,
06063,,,,
06065,,,,
06067,,,,
06069,,,,
06071,,,,
06073,,,,
06075,,,,
06077,,,,
06079,,,,
06081,,,,
06083,,,,
06085,,,,
06087,,,,
06089,,,,
06091,,,,
06093,,,,
06095,,,,
06097,,,,
06099,,,,
06101,,,,
06103,,,,
06105,,,,
06107,,,,
06109,,,,
06111,,,,
06113,,,,
06115,,,,
08001,,,,
08003,,,,
08005,,,,
08007,,,,
08009,,,,
08011,,,,
08013,,,,
08014,,,,
08015,,,,
08017,,,,
08019,,,,
08021,,,,
08023,,,,
08025,,,,
08027,,,,
08029,,,,
08031,,,,
08033,,,,
08035,,,,
08037,,,,
08039,,,,
08041,,,,
08043,,,,
08045,,,,
08047,,,,
08049,,,,
08051,,,,
08053,,,,
08055,,,,
08057,,,,
08059,,,,
08061,,,,
08063,,,,
08065,,,,
08067,,,,
08069,,,,
08071,,,,
08073,,,,
08075,,,,
08077,,,,
08079,,,,
08081,,,,
08083,,,,
08085,,,,
08087,,,,
08089,,,,
08091,,,,
08093,,,,
08095,,,,
08097,,,,
08099,,,,
08101,,,,
08103,,,,
08105,,,,
08107,,,,
08109,,,,
08111,,,,
08113,,,,
08115,,,,
08117,,,,
08119,,,,
08121,,,,
08123,,,,
08125,,,,
09001,,,,
09003,,,,
09005,,,,
09007,,,,
09009,,,,
09011,,,,
09013,,,,
09015,,,,
10001,43.6747378332,-98.1459868879,1128284964.0,0.0001627629595886
10003,32.2322990847,-83.4759611368,645583957.0,0.0008698032129072
10005,37.0191301368,-88.0832815032,553848612.0,0.0004362834802951
11001,45.4439531217,-93.7745948671,1121230382.0,0.0006357444566642
12001,31.0536324937,-82.4236757904,2328980907.0,0.0001164535094232
12003,31.7163847519,-83.6240929756,739222162.0,3.999609524693877e-05
12005,39.1692979289,-90.6675721556,657422422.0,0.0002605965270834
12007,41.3239160959,-84.4904951214,1065649892.0,2.683151400347536e-05
12009,30.8678906078,-85.8141023534,1240232912.0,0.0004906005913186
12011,30.4628875802,-88.6228415765,1872035802.0,0.0010459762563878
12013,35.7040584995,-113.757910618,34529358909.0,4.077110159242082e-07
12015,33.9046109451,-78.9761374454,2934453641.0,6.635340810279306e-05
12017,40.5241957601,-101.697946991,2316533450.0,6.605128020059456e-05
12019,36.6547348009,-93.0411071081,1637832031.0,0.0001354046054799
12021,32.1733642109,-82.5348172563,624563060.0,0.0006291966739115
12023,32.7531803783,-98.31302138,2467090693.0,2.9449261920587204e-05
12027,36.7497076523,-100.476834839,4700407527.0,8.1950341068799e-06
12029,36.220156659,-118.80047248,12494889125.0,1.3651181558603866e-06
12031,37.8144890524,-79.4472820902,1545038073.0,0.0006256984969457
12033,35.1405167444,-86.5889416254,1477179212.0,0.0002182294452705
12035,36.1695295563,-86.7848240917,1303934398.0,9.084122650777711e-05
12037,44.0387746178,-106.584632792,10759204099.0,1.1340058137882157e-06
12039,18.4830555933,-67.014161744,143255840.0,0.0003160569230545
12041,40.1636345517,-77.2655238393,1412783419.0,1.3367229361572794e-05
12043,42.3029409617,-79.4057576347,2746047476.0,5.170340325172149e-06
12045,36.97522315,-82.6212020717,1044903124.0,1.2952396915218716e-05
12047,33.6556666121,-88.7815761672,1062066001.0,1.3672408293201734e-05
12049,28.3450693013,-99.0996626872,3850545737.0,6.965765850348605e-06
12051,43.3804969625,-96.2102923903,1522007136.0,2.8129303067866824e-05
12053,33.2409810885,-93.6070389924,1368278171.0,0.0001452862467686
12055,47.3252360192,-95.8090496343,1444868073.0,7.380535426918524e-05
12057,37.7071366717,-89.8244110855,1228574132.0,0.001219264642632
12059,38.0039134141,-84.9910045711,523607691.0,3.742114628335358e-05
12061,36.3804933554,-84.932458522,1291416706.0,0.0001258447403111
12063,36.5584092548,-85.0749898228,422113138.0,0.0001091768908647
12065,46.4662809401,-109.844522327,3684208403.0,3.947387989278195e-06
12067,45.7663736363,-99.2214553894,2943892840.0,2.8812190052406936e-06
12069,41.1238795774,-83.1277054408,1427151734.0,0.0002631058709837
12071,32.2976557,-99.3734880839,2329363239.0,0.0003394777537313
12073,43.2899298863,-86.5352341115,1305130138.0,0.0002263835547103
12075,41.5926866339,-122.540367763,16261933244.0,2.5958783231123685e-06
12077,34.8753989481,-89.9917699831,1233644242.0,6.779912486309809e-06
12079,36.2721371509,-90.0909046758,1401438398.0,1.3348428319572843e-05
12081,30.2035444978,-90.9112912896,751259388.0,0.000547372860251
12083,37.378523092,-77.5869258358,1097006029.0,0.0003404839992907
12085,37.7851065199,-89.3820759403,1511439610.0,0.0001072408046789
12086,40.4487493593,-113.131090626,17979556883.0,0.0001505767365468
12087,29.9086211231,-85.2610062794,1433401108.0,5.155570174151142e-05
12089,30.7863091928,-93.7447410133,2418212542.0,3.767782956110398e-05
12091,38.1449736906,-83.74266722,722081430.0,0.0002947313019807
12093,40.8122907682,-79.4645390704,1691756729.0,2.5001821641934194e-05
12095,35.8400259506,-102.602862784,3786435508.0,0.0003709018672133
12097,37.6847615589,-97.4609686791,2582031938.0,0.0001492293702216
12099,40.5400113655,-84.6293603418,1197723422.0,0.001258721314377
12101,41.916402826,-96.787400407,1477652222.0,0.0003860258804524
12103,33.2690858673,-85.8605470841,1564251834.0,0.0006244531595032
12105,34.263162689,-85.2142786499,1320434485.0,0.000563868945001
12107,42.3911118186,-96.564513018,684463003.0,0.0001093046660989
12109,38.4813047182,-100.466398449,1858080220.0,0.0001500015968094
12111,36.0360299243,-78.8765926949,741994332.0,0.0004544320427504
