,year,fips,state_alpha,rent_50_0,rent_50_1,rent_50_2,rent_50_3,rent_50_4
0,2019,01001,AL,631,742,890,1133,1558
1,2019,01003,AL,786,809,929,1351,1578
2,2019,01005,AL,527,531,706,885,998
3,2019,01007,AL,749,832,955,1273,1424
4,2019,01009,AL,749,832,955,1273,1424
5,2019,01011,AL,512,513,643,873,876
6,2019,01013,AL,478,481,640,855,905
7,2019,01015,AL,507,542,721,942,1099
8,2019,01017,AL,486,615,738,925,1005
9,2019,01019,AL,512,516,686,966,970
10,2019,01021,AL,564,615,706,1027,1243
11,2019,01023,AL,541,545,725,909,1025
12,2019,01025,AL,483,528,606,881,978
13,2019,01027,AL,513,528,606,881,1067
14,2019,01029,AL,516,520,691,866,1136
15,2019,01031,AL,581,583,686,998,1208
16,2019,01033,AL,561,564,713,945,1183
17,2019,01035,AL,453,456,606,854,857
18,2019,01037,AL,541,541,679,915,960
19,2019,01039,AL,474,477,634,838,1117
20,2019,01041,AL,456,459,606,773,971
21,2019,01043,AL,513,544,674,890,918
22,2019,01045,AL,427,516,652,892,1148
23,2019,01047,AL,474,517,606,813,933
24,2019,01049,AL,453,456,606,780,825
25,2019,01051,AL,631,742,890,1133,1558
26,2019,01053,AL,527,542,623,819,849
27,2019,01055,AL,530,533,709,889,1042
28,2019,01057,AL,483,528,606,851,857
29,2019,01059,AL,490,526,615,771,869
30,2019,01061,AL,572,576,748,1005,1173
31,2019,01063,AL,483,483,606,854,857
32,2019,01065,AL,640,704,859,1103,1170
33,2019,01067,AL,570,586,673,844,1185
34,2019,01069,AL,572,576,748,1005,1173
35,2019,01071,AL,418,542,655,821,892
36,2019,01073,AL,749,832,955,1273,1424
37,2019,01075,AL,483,523,606,854,857
38,2019,01077,AL,561,564,713,945,1183
39,2019,01079,AL,465,549,703,917,974
40,2019,01081,AL,598,680,889,1190,1439
41,2019,01083,AL,558,646,768,1034,1353
42,2019,01085,AL,631,742,890,1133,1558
43,2019,01087,AL,474,477,634,911,1059
44,2019,01089,AL,558,646,768,1034,1353
45,2019,01091,AL,483,498,606,881,1067
46,2019,01093,AL,453,456,606,804,953
47,2019,01095,AL,492,495,655,889,892
48,2019,01097,AL,728,733,901,1182,1369
49,2019,01099,AL,483,528,606,769,899
50,2019,01101,AL,631,742,890,1133,1558
51,2019,01103,AL,465,549,703,917,974
52,2019,01105,AL,513,528,606,854,857
53,2019,01107,AL,451,456,606,822,825
54,2019,01109,AL,554,558,669,909,911
55,2019,01111,AL,435,539,682,974,1074
56,2019,01113,AL,672,742,891,1236,1569
57,2019,01115,AL,749,832,955,1273,1424
58,2019,01117,AL,749,832,955,1273,1424
59,2019,01119,AL,558,562,747,937,1017
60,2019,01121,AL,494,497,661,897,922
61,2019,01123,AL,540,554,638,902,1026
62,2019,01125,AL,640,704,859,1103,1170
63,2019,01127,AL,534,537,697,881,1041
64,2019,01129,AL,547,547,686,863,970
65,2019,01131,AL,483,528,606,854,857
66,2019,01133,AL,453,456,606,881,1009
67,2019,02013,AK,791,964,1107,1388,1508
68,2019,02016,AK,1135,1338,1779,2230,2738
69,2019,02020,AK,978,1097,1417,2061,2496
70,2019,02050,AK,1165,1419,1630,2044,2220
71,2019,02060,AK,941,1002,1317,1699,1794
72,2019,02068,AK,1086,1178,1520,1906,2339
73,2019,02070,AK,1143,1181,1356,1878,2087
74,2019,02090,AK,924,1089,1449,2108,2552
75,2019,02100,AK,725,883,1014,1284,1560
76,2019,02105,AK,556,675,871,1182,1186
77,2019,02110,AK,966,1138,1514,2165,2667
78,2019,02122,AK,868,874,1154,1496,1689
79,2019,02130,AK,864,1019,1355,1780,2387
80,2019,02150,AK,1065,1095,1258,1830,2004
81,2019,02158,AK,710,866,994,1246,1354
82,2019,02164,AK,677,809,947,1187,1457
83,2019,02170,AK,777,877,1167,1698,2055
84,2019,02180,AK,1077,1426,1689,2118,2300
85,2019,02185,AK,1025,1137,1306,1768,2258
86,2019,02188,AK,1209,1243,1428,1938,1945
87,2019,02195,AK,716,844,1123,1408,1728
88,2019,02198,AK,843,849,1101,1380,1500
89,2019,02220,AK,963,1074,1344,1868,2367
90,2019,02230,AK,1048,1183,1467,2134,2258
91,2019,02240,AK,930,1098,1301,1892,2291
92,2019,02261,AK,894,961,1278,1602,1967
93,2019,02275,AK,750,755,1004,1276,1545
94,2019,02282,AK,843,887,1180,1479,1816
95,2019,02290,AK,653,658,841,1101,1481
96,2019,04001,AZ,508,595,697,998,1206
97,2019,04003,AZ,675,679,852,1239,1501
98,2019,04005,AZ,835,982,1206,1545,1836
99,2019,04007,AZ,684,689,916,1159,1248
100,2019,04009,AZ,630,688,831,1209,1433
101,2019,04011,AZ,547,547,722,905,983
102,2019,04012,AZ,590,594,790,990,1170
103,2019,04013,AZ,730,870,1082,1574,1813
104,2019,04015,AZ,594,659,839,1205,1331
105,2019,04017,AZ,615,619,777,1043,1203
106,2019,04019,AZ,579,682,907,1319,1554
107,2019,04021,AZ,730,870,1082,1574,1813
108,2019,04023,AZ,571,571,760,1031,1035
109,2019,04025,AZ,706,711,945,1348,1352
110,2019,04027,AZ,630,650,865,1258,1524
111,2019,05001,AR,514,518,683,930,1065
112,2019,05003,AR,491,543,643,840,876
113,2019,05005,AR,534,550,731,967,996
114,2019,05007,AR,561,596,773,1110,1361
115,2019,05009,AR,488,492,654,951,1152
116,2019,05011,AR,457,538,716,898,975
117,2019,05013,AR,511,583,669,869,975
118,2019,05015,AR,532,535,712,924,1040
119,2019,05017,AR,483,551,633,921,922
120,2019,05019,AR,505,508,676,921,1090
121,2019,05021,AR,473,476,633,894,922
122,2019,05023,AR,530,534,710,991,1070
123,2019,05025,AR,507,568,731,916,1138
124,2019,05027,AR,451,551,633,921,960
125,2019,05029,AR,570,574,763,957,1104
126,2019,05031,AR,507,630,764,1076,1076
127,2019,05033,AR,506,545,725,981,1169
128,2019,05035,AR,670,753,889,1212,1405
129,2019,05037,AR,541,544,724,908,986
130,2019,05039,AR,473,476,633,883,886
131,2019,05041,AR,473,476,633,854,922
132,2019,05043,AR,508,511,680,902,926
133,2019,05045,AR,622,719,862,1154,1370
134,2019,05047,AR,490,493,656,822,956
135,2019,05049,AR,473,476,633,859,862
136,2019,05051,AR,561,612,814,1021,1186
137,2019,05053,AR,533,643,738,1065,1192
138,2019,05055,AR,550,589,721,965,1178
139,2019,05057,AR,506,521,663,831,903
140,2019,05059,AR,528,586,691,906,1103
141,2019,05061,AR,411,484,644,818,938
142,2019,05063,AR,502,505,672,843,951
143,2019,05065,AR,473,476,633,859,862
144,2019,05067,AR,418,492,655,821,1009
145,2019,05069,AR,507,568,731,916,1138
146,2019,05071,AR,514,517,688,901,975
147,2019,05073,AR,483,511,633,819,1034
148,2019,05075,AR,494,497,633,849,971
149,2019,05077,AR,473,476,633,874,1029
150,2019,05079,AR,507,568,731,916,1138
151,2019,05081,AR,450,476,633,804,918
152,2019,05083,AR,483,551,633,835,908
153,2019,05085,AR,622,719,862,1154,1370
154,2019,05087,AR,561,596,773,1110,1361
155,2019,05089,AR,440,504,633,801,1115
156,2019,05091,AR,592,665,843,1084,1249
157,2019,05093,AR,512,516,686,885,934
158,2019,05095,AR,492,504,644,812,1134
159,2019,05097,AR,486,489,651,816,948
160,2019,05099,AR,503,506,673,867,917
161,2019,05101,AR,478,481,633,921,922
162,2019,05103,AR,521,524,637,850,980
163,2019,05105,AR,622,719,862,1154,1370
164,2019,05107,AR,479,482,641,930,1129
165,2019,05109,AR,536,551,633,794,917
166,2019,05111,AR,473,476,633,859,862
167,2019,05113,AR,473,476,633,794,1028
168,2019,05115,AR,515,518,689,1002,1112
169,2019,05117,AR,473,476,633,852,922
170,2019,05119,AR,622,719,862,1154,1370
171,2019,05121,AR,475,478,636,797,926
172,2019,05123,AR,473,476,633,921,1115
173,2019,05125,AR,622,719,862,1154,1370
174,2019,05127,AR,473,476,633,794,922
175,2019,05129,AR,483,508,633,856,922
176,2019,05131,AR,506,545,725,981,1169
177,2019,05133,AR,406,478,636,797,926
178,2019,05135,AR,405,477,635,839,938
179,2019,05137,AR,491,494,657,824,895
180,2019,05139,AR,592,605,699,876,1173
181,2019,05141,AR,479,483,642,842,895
182,2019,05143,AR,561,596,773,1110,1361
183,2019,05145,AR,527,530,687,983,1210
184,2019,05147,AR,407,476,633,794,862
185,2019,05149,AR,500,504,633,921,1015
186,2019,06001,CA,1660,2000,2511,3470,4254
187,2019,06003,CA,695,764,1012,1442,1637
188,2019,06005,CA,757,829,1102,1590,1762
189,2019,06007,CA,758,834,1055,1535,1796
190,2019,06009,CA,668,822,972,1414,1712
191,2019,06011,CA,572,780,896,1303,1509
192,2019,06013,CA,1660,2000,2511,3470,4254
193,2019,06015,CA,643,759,936,1327,1530
194,2019,06017,CA,807,916,1157,1683,2038
195,2019,06019,CA,741,819,1018,1453,1699
196,2019,06021,CA,598,655,871,1136,1186
197,2019,06023,CA,683,780,1023,1488,1712
198,2019,06025,CA,605,723,948,1262,1645
199,2019,06027,CA,801,805,972,1387,1392
200,2019,06029,CA,719,744,968,1395,1659
201,2019,06031,CA,805,810,1000,1433,1610
202,2019,06033,CA,630,762,988,1437,1594
203,2019,06035,CA,639,699,930,1307,1503
204,2019,06037,CA,1154,1388,1798,2412,2667
205,2019,06039,CA,763,768,1021,1444,1643
206,2019,06041,CA,2179,2704,3377,4404,4692
207,2019,06043,CA,679,777,989,1395,1686
208,2019,06045,CA,753,826,1098,1552,1757
209,2019,06047,CA,574,660,837,1217,1449
210,2019,06049,CA,479,533,697,1014,1127
211,2019,06051,CA,844,988,1314,1652,2125
212,2019,06053,CA,1056,1227,1534,2220,2371
213,2019,06055,CA,1095,1303,1716,2491,2760
214,2019,06057,CA,829,977,1300,1891,2273
215,2019,06059,CA,1396,1610,2024,2833,3285
216,2019,06061,CA,807,916,1157,1683,2038
217,2019,06063,CA,629,798,916,1243,1413
218,2019,06065,CA,833,1003,1253,1754,2172
219,2019,06067,CA,807,916,1157,1683,2038
220,2019,06069,CA,1379,1389,1847,2687,3253
221,2019,06071,CA,833,1003,1253,1754,2172
222,2019,06073,CA,1257,1400,1816,2612,3198
223,2019,06075,CA,2179,2704,3377,4404,4692
224,2019,06077,CA,668,790,1048,1524,1846
225,2019,06079,CA,1031,1176,1516,2205,2670
226,2019,06081,CA,2179,2704,3377,4404,4692
227,2019,06083,CA,1468,1725,2021,2744,3195
228,2019,06085,CA,1873,2217,2753,3785,4303
229,2019,06087,CA,1348,1589,2113,2812,3184
230,2019,06089,CA,700,759,974,1417,1715
231,2019,06091,CA,871,957,1268,1590,2051
232,2019,06093,CA,565,666,886,1227,1460
233,2019,06095,CA,920,1145,1412,2054,2486
234,2019,06097,CA,1302,1511,1961,2852,3454
235,2019,06099,CA,769,855,1094,1562,1873
236,2019,06101,CA,716,720,942,1370,1659
237,2019,06103,CA,590,646,859,1168,1172
238,2019,06105,CA,635,695,924,1328,1627
239,2019,06107,CA,674,678,902,1279,1495
240,2019,06109,CA,697,795,1020,1401,1594
241,2019,06111,CA,1187,1399,1861,2627,3144
242,2019,06113,CA,917,978,1301,1845,2291
243,2019,06115,CA,716,720,942,1370,1659
