,Setting,Tuition&Fees,Enrollment,Acceptance_Rate,SAT_Range,ACT_Range,High_School_GPA,Room&Board,Aid_Package,Grad_Enrollment,Full_Time_Degree_Seeking_Students,Graduation_Rate,Graduating_Students_Who_Borrowed,Average_Debt_At_Graduation,4-Year_Graduation_Rate,Student/Faculty_Ratio,Classes_Fewer_Than_20_Students,Sports_Teams,Fraternities,Sororities,Median_Starting_Salary,Score(of_100),Average_6-Year_Graduation Rate,6-Year_Graduation_Rate_of_Pell_Grant_Recipients,6-Year_Graduation_Rate_of_Non_Pell_Grant_Recipients,Classes_More_Than_50,School_Name,Address,Heading-sc-1w5xk2o-0 Wakanda__Title-rzha8s-10 gTHiRT gtkLHO,Paragraph-sc-1iyax29-0 Key__Title-sc-12afmmk-1 lbGMQc hWVZdP,Paragraph-sc-1iyax29-0 Key__Data-sc-12afmmk-3 lbGMQc OsdLo
0,Suburban,"$57,410","8,478",4%,1460-1570,33-35,3.9,"$18,630","$61,731","3,157","5,236",90%,17%,"$10,299",90%,5:1,76%,104+Sports Teams,N/AFraternities,N/ASororities,"$71,300",100,98%,96%,98%,10%,Princeton University,"Princeton, NJ, 08544",['Princeton University'],"['Minority Enrollment', 'White', 'Asian', 'International', 'Hispanic', 'Black', 'Two or more races', 'Unknown']","['61.0%', '39.0%', '23.0%', '12.0%', '11.0%', '8.0%', '6.0%', '1.0%']"
1,Urban,"$57,986","11,934",4%,1510-1580,34-36,N/A,"$18,790","$57,772","7,296","4,579",88%,18%,"$26,339",88%,3:1,70%,81+Sports Teams,29Fraternities,11Sororities,"$82,700",97,95%,93%,97%,11%,Massachusetts Institute of Technology,"77 Massachusetts Avenue, Cambridge, MA, 02139",['Massachusetts Institute of Technology'],"['Minority Enrollment', 'Asian', 'White', 'Hispanic', 'International', 'Two or more races', 'Black', 'Unknown']","['67.0%', '33.0%', '24.0%', '15.0%', '10.0%', '8.0%', '7.0%', '2.0%']"
2,Urban,"$57,261","21,648",4%,1480-1580,33-36,3.9,"$19,502","$67,932","14,495","7,095",86%,21%,"$16,366",86%,7:1,71%,111+Sports Teams,N/AFraternities,N/ASororities,"$69,000",96,98%,94%,97%,11%,Harvard University,"Cambridge, MA, 02138",['Harvard University'],"['Minority Enrollment', 'White', 'Asian', 'Hispanic', 'International', 'Black', 'Two or more races', 'Unknown']","['64.0%', '36.0%', '22.0%', '12.0%', '12.0%', '9.0%', '7.0%', '1.0%']"
3,Suburban,"$56,169","17,680",4%,1470-1570,34-35,3.9,"$17,860","$65,400","10,035","7,645",81%,13%,"$23,318",81%,5:1,68%,112+Sports Teams,13Fraternities,10Sororities,"$73,900",96,95%,92%,96%,12%,Stanford University,"Stanford, CA, 94305",['Stanford University'],"['Minority Enrollment', 'White', 'Asian', 'Hispanic', 'International', 'Two or more races', 'Black', 'American Indian']","['72.0%', '28.0%', '25.0%', '18.0%', '11.0%', '10.0%', '7.0%', '1.0%']"
4,City,"$62,250","14,567",5%,1480-1580,33-35,N/A,"$18,450","$67,437","8,031","6,531",88%,12%,"$14,383",88%,6:1,71%,119+Sports Teams,N/AFraternities,N/ASororities,"$65,900",96,97%,93%,98%,11%,Yale University,"New Haven, CT, 06520",['Yale University'],"['Minority Enrollment', 'White', 'Asian', 'Hispanic', 'International', 'Black', 'Two or more races', 'Unknown']","['63.0%', '37.0%', '21.0%', '15.0%', '10.0%', '8.0%', '7.0%', '1.0%']"
5,Urban,"$62,940","16,274",6%,1510-1580,33-35,N/A,"$18,396","$63,056","8,748","7,511",91%,15%,"$24,686",91%,5:1,78%,81+Sports Teams,N/AFraternities,N/ASororities,"$59,700",95,95%,93%,96%,6%,University of Chicago,"5801 S. Ellis Avenue, Chicago, IL, 60637",['University of Chicago'],"['Minority Enrollment', 'White', 'Asian', 'International', 'Hispanic', 'Two or more races', 'Black', 'Unknown']","['67.0%', '33.0%', '20.0%', '16.0%', '15.0%', '7.0%', '6.0%', '3.0%']"
6,Urban,"$60,480","32,049",8%,1510-1570,34-35,3.9,"$18,090","$59,040","25,917","5,719",87%,38%,"$18,881",87%,6:1,79%,77+Sports Teams,11Fraternities,14Sororities,"$65,900",94,94%,95%,95%,5%,Johns Hopkins University,"3400 N. Charles Street, Baltimore, MD, 21218",['Johns Hopkins University'],"['Minority Enrollment', 'Asian', 'White', 'Hispanic', 'International', 'Black', 'Two or more races', 'Unknown']","['73.0%', '27.0%', '24.0%', '18.0%', '14.0%', '8.0%', '7.0%', '2.0%']"
7,Urban,"$63,452","23,431",6%,1480-1570,33-35,3.9,"$17,888","$54,954","13,469","9,631",89%,20%,"$26,481",89%,7:1,68%,29+Sports Teams,33Fraternities,15Sororities,"$68,200",94,96%,95%,96%,9%,University of Pennsylvania,"1 College Hall, Room 100, Philadelphia, PA, 19104",['University of Pennsylvania'],"['Minority Enrollment', 'White', 'Asian', 'International', 'Hispanic', 'Black', 'Two or more races', 'Unknown']","['66.0%', '34.0%', '26.0%', '13.0%', '10.0%', '8.0%', '5.0%', '4.0%']"
8,Suburban,"$60,864","2,397",4%,1530-1580,N/A,N/A,"$18,606","$61,182","1,410",987,86%,29%,"$16,787",86%,3:1,71%,44+Sports Teams,N/AFraternities,N/ASororities,"$82,900",93,93%,88%,93%,7%,California Institute of Technology,"1200 E. California Boulevard, Pasadena, CA, 91125",['California Institute of Technology'],"['Minority Enrollment', 'Asian', 'White', 'Hispanic', 'Two or more races', 'International', 'Black']","['65.0%', '35.0%', '23.0%', '22.0%', '9.0%', '8.0%', '3.0%']"
9,Suburban,"$63,054","17,620",6%,1480-1570,33-35,N/A,"$18,166","$62,270","10,737","6,789",91%,30%,"$24,436",91%,6:1,70%,82+Sports Teams,17Fraternities,18Sororities,"$68,900",92,96%,95%,96%,8%,Duke University,"2138 Campus Drive, Box 90586, Durham, NC, 27708",['Duke University'],"['Minority Enrollment', 'White', 'Asian', 'Hispanic', 'International', 'Black', 'Two or more races', 'Unknown']","['60.0%', '40.0%', '21.0%', '11.0%', '9.0%', '8.0%', '6.0%', '5.0%']"
10,Suburban,"$63,468","22,933",7%,1460-1560,33-35,N/A,"$19,440","$61,907","14,439","8,350",86%,28%,"$34,851",86%,6:1,77%,101+Sports Teams,16Fraternities,17Sororities,"$61,100",92,95%,92%,96%,6%,Northwestern University,"633 Clark Street, Evanston, IL, 60208",['Northwestern University'],"['Minority Enrollment', 'White', 'Asian', 'Hispanic', 'International', 'Two or more races', 'Black', 'Unknown']","['61.0%', '39.0%', '20.0%', '14.0%', '10.0%', '7.0%', '6.0%', '3.0%']"
11,Rural,"$62,430","6,761",6%,1440-1560,33-35,N/A,"$17,874","$64,588","2,205","4,532",86%,34%,"$23,217",86%,7:1,62%,100+Sports Teams,17Fraternities,10Sororities,"$66,100",89,95%,90%,94%,8%,Dartmouth College,"6016 McNutt Hall, Hanover, NH, 03755",['Dartmouth College'],"['Minority Enrollment', 'White', 'Asian', 'International', 'Hispanic', 'Two or more races', 'Black', 'Unknown', 'American Indian']","['50.0%', '50.0%', '14.0%', '12.0%', '10.0%', '6.0%', '5.0%', '2.0%', '1.0%']"
12,City,"$65,146","10,696",6%,1460-1570,33-35,N/A,"$15,840","$59,749","3,347","7,076",86%,31%,"$24,102",86%,6:1,69%,90+Sports Teams,9Fraternities,6Sororities,"$63,400",88,96%,93%,96%,12%,Brown University,"Box 1920, Providence, RI, 02912",['Brown University'],"['Minority Enrollment', 'White', 'Asian', 'Hispanic', 'International', 'Black', 'Two or more races', 'Unknown']","['59.0%', '41.0%', '18.0%', '11.0%', '11.0%', '8.0%', '7.0%', '3.0%']"
13,Urban,"$60,348","13,796",7%,1480-1570,34-35,3.8,"$19,862","$63,133",,,,,,89%,8:1,61%,90+Sports Teams,14Fraternities,15Sororities,"$63,600",88,93%,90%,94%,10%,Vanderbilt University,"Nashville, TN, 37240",['Vanderbilt University'],"['Minority Enrollment', 'White', 'Asian', 'Black', 'Hispanic', 'International', 'Two or more races', 'Unknown']","['59.0%', '41.0%', '17.0%', '11.0%', '11.0%', '10.0%', '6.0%', '4.0%']"
14,Urban,"$54,960","8,285",9%,1490-1570,34-35,N/A,"$15,000","$57,375","4,038","4,150",87%,20%,"$22,253",87%,6:1,71%,93+Sports Teams,N/AFraternities,N/ASororities,"$67,500",87,94%,91%,92%,7%,Rice University,"6100 Main St., Houston, TX, 77005",['Rice University'],"['Minority Enrollment', 'White', 'Asian', 'Hispanic', 'International', 'Black', 'Two or more races', 'Unknown']","['70.0%', '30.0%', '28.0%', '16.0%', '12.0%', '8.0%', '5.0%', '1.0%']"
15,City,"$60,590","16,973",13%,1490-1570,33-35,N/A,"$18,470","$63,820","8,939","7,323",87%,25%,"$22,740",87%,7:1,66%,105+Sports Teams,18Fraternities,11Sororities,"$63,300",87,94%,93%,93%,10%,Washington University in St. Louis,"MSC 1089-105-05, One Brookings Drive, St. Louis, MO, 63130",['Washington University in St. Louis'],"['Minority Enrollment', 'White', 'Asian', 'Hispanic', 'Black', 'International', 'Two or more races', 'Unknown']","['54.0%', '46.0%', '19.0%', '11.0%', '9.0%', '7.0%', '6.0%', '2.0%']"
16,Rural,"$63,200","25,582",9%,1450-1560,33-35,N/A,"$17,088","$55,604","10,079","15,399",88%,38%,"$26,865",88%,9:1,55%,104+Sports Teams,34Fraternities,19Sororities,"$67,900",86,95%,91%,95%,19%,Cornell University,"Ithaca, NY, 14853",['Cornell University'],"['Minority Enrollment', 'White', 'Asian', 'Hispanic', 'International', 'Black', 'Unknown', 'Two or more races']","['66.0%', '34.0%', '22.0%', '15.0%', '10.0%', '7.0%', '7.0%', '5.0%']"
17,Urban,"$65,524","30,135",6%,1460-1570,N/A,N/A,"$15,450",N/A,,,,,,N/A,N/A,0%,76+Sports Teams,16Fraternities,13Sororities,"$67,800",84,96%,N/A,N/A,N/A,Columbia University,"2960 Broadway, New York, NY, 10027",['Columbia University'],,
18,Suburban,"$60,301","13,139",15%,1410-1550,32-35,N/A,"$16,710","$59,110","4,166","8,933",90%,42%,"$29,092",90%,9:1,60%,135+Sports Teams,N/AFraternities,N/ASororities,"$65,000",84,97%,92%,96%,11%,University of Notre Dame,"Notre Dame, IN, 46556",['University of Notre Dame'],"['Minority Enrollment', 'White', 'Hispanic', 'Two or more races', 'International', 'Asian', 'Black', 'Unknown']","['34.0%', '66.0%', '12.0%', '6.0%', '6.0%', '5.0%', '4.0%', '1.0%']"
19,City,"$43,980","45,435",15%,1290-1530,N/A,3.9,"$21,164","$27,708","13,292","30,197",79%,28%,"$17,511",79%,20:1,51%,28+Sports Teams,N/AFraternities,N/ASororities,"$66,800",83,92%,89%,94%,20%,"University of California, Berkeley","110 Sproul Hall, Berkeley, CA, 94720","['University of California, Berkeley']","['Minority Enrollment', 'Asian', 'White', 'Hispanic', 'International', 'Two or more races', 'Unknown', 'Black']","['65.0%', '35.0%', '21.0%', '20.0%', '13.0%', '6.0%', '3.0%', '2.0%']"
20,Urban,"$44,830","47,516",11%,1290-1520,N/A,3.9,"$17,231","$24,269","15,397","31,484",83%,39%,"$19,061",83%,18:1,48%,125+Sports Teams,35Fraternities,33Sororities,"$58,500",83,92%,88%,94%,23%,"University of California, Los Angeles","405 Hilgard Avenue, Los Angeles, CA, 90095","['University of California, Los Angeles']","['Minority Enrollment', 'Asian', 'White', 'Hispanic', 'International', 'Two or more races', 'Black', 'Unknown']","['71.0%', '29.0%', '26.0%', '22.0%', '10.0%', '7.0%', '3.0%', '3.0%']"
21,Urban,"$61,344","15,818",14%,1480-1560,33-35,3.9,"$16,796","$51,560","8,453","7,164",79%,40%,"$30,652",79%,6:1,70%,76+Sports Teams,13Fraternities,9Sororities,"$74,600",81,91%,92%,93%,10%,Carnegie Mellon University,"5000 Forbes Avenue, Pittsburgh, PA, 15213",['Carnegie Mellon University'],"['Minority Enrollment', 'Asian', 'White', 'International', 'Hispanic', 'Unknown', 'Two or more races', 'Black']","['68.0%', '32.0%', '22.0%', '22.0%', '9.0%', '6.0%', '5.0%', '4.0%']"
22,City,"$57,948","14,781",13%,1420-1540,32-34,3.8,"$17,016","$51,104","7,651","6,974",83%,37%,"$25,259",83%,9:1,55%,72+Sports Teams,16Fraternities,14Sororities,"$60,200",81,90%,88%,90%,13%,Emory University,"201 Dowman Drive, Atlanta, GA, 30322",['Emory University'],"['Minority Enrollment', 'White', 'Asian', 'International', 'Hispanic', 'Black', 'Two or more races', 'Unknown']","['65.0%', '35.0%', '23.0%', '17.0%', '11.0%', '8.0%', '5.0%', '1.0%']"
