cfips,RGDP_2019,RGDP_2020,RGDP_2021
01001,1543336.0,1525591.0,1502153.0
01003,7132205.0,7142139.0,7830237.0
01005,728447.0,699829.0,709459.0
01007,380403.0,398101.0,392249.0
01009,937239.0,883216.0,997835.0
01011,250367.0,251580.0,236820.0
01013,616902.0,595024.0,652486.0
01015,4139002.0,4026694.0,4245199.0
01017,829391.0,811937.0,844188.0
01019,524953.0,476187.0,533432.0
01021,978878.0,967885.0,1001475.0
01023,500986.0,499772.0,501532.0
01025,737104.0,752027.0,761922.0
01027,405188.0,400458.0,434129.0
01029,276070.0,260699.0,298888.0
01031,1320034.0,1262831.0,1403123.0
01033,2348225.0,2340695.0,2444622.0
01035,470223.0,453603.0,457634.0
01037,174970.0,172501.0,175564.0
01039,1100695.0,1091293.0,1151784.0
01041,437554.0,369821.0,441247.0
01043,2656667.0,2610437.0,2912833.0
01045,2561466.0,2464664.0,2632339.0
01047,1112919.0,1098502.0,1061713.0
01049,1864771.0,1783136.0,1973395.0
01051,1812579.0,1740649.0,1787108.0
01053,1210415.0,1176516.0,1176856.0
01055,2766052.0,2558388.0,2596715.0
01057,320650.0,310902.0,324913.0
01059,930523.0,878485.0,955433.0
01061,527824.0,510787.0,530408.0
01063,217745.0,197909.0,176400.0
01065,242546.0,248887.0,221635.0
01067,407312.0,402101.0,415374.0
01069,4939434.0,4905327.0,5108440.0
01071,1381528.0,1319922.0,1394081.0
01073,41169111.0,40222939.0,42384437.0
01075,300735.0,290232.0,296383.0
01077,2358530.0,2343835.0,2441824.0
01079,506633.0,524754.0,529939.0
01081,5600186.0,5605471.0,5898376.0
01083,3549292.0,3521359.0,3679491.0
01085,376457.0,363418.0,372001.0
01087,482969.0,477692.0,512801.0
01089,23767682.0,23927196.0,25393993.0
01091,686458.0,689416.0,702667.0
01093,788896.0,771661.0,822947.0
01095,3287708.0,3246949.0,3449047.0
01097,18666287.0,18356132.0,18885760.0
01099,597186.0,589761.0,577141.0
01101,12610524.0,12387524.0,13020681.0
01103,5124226.0,5166500.0,5327748.0
01105,194953.0,193180.0,172984.0
01107,428181.0,408780.0,423622.0
01109,1289885.0,1263798.0,1343547.0
01111,464735.0,436365.0,478246.0
01113,1320225.0,1319360.0,1348424.0
01115,1877841.0,1841006.0,1993244.0
01117,10813881.0,10740227.0,11270557.0
01119,297868.0,305383.0,289861.0
01121,2876151.0,2758745.0,3007315.0
01123,1264972.0,1214402.0,1299756.0
01125,10369768.0,9860054.0,10323162.0
01127,1688108.0,1544659.0,1566603.0
01129,769783.0,745228.0,754413.0
01131,391223.0,369555.0,328916.0
01133,687995.0,723900.0,728005.0
02013,204322.0,185383.0,196383.0
02016,366189.0,365220.0,355398.0
02020,21137635.0,20186405.0,20410885.0
02050,659948.0,629474.0,604118.0
02060,123517.0,108386.0,121530.0
02068,256457.0,192759.0,236319.0
02070,237186.0,218124.0,216293.0
02090,5220901.0,5135206.0,5286112.0
02100,108097.0,85204.0,91810.0
02105,99641.0,84531.0,86047.0
02110,2282666.0,2188687.0,2228455.0
02122,2693049.0,2626133.0,2657093.0
02130,832444.0,722936.0,755944.0
02150,707566.0,684339.0,685696.0
02158,142648.0,133736.0,137336.0
02164,78537.0,69530.0,93567.0
02170,2553266.0,2550450.0,2683216.0
