cfips,GDP_Agri_pct_2019,GDP_Agri_pct_2020,GDP_Agri_pct_2021,GDP_Mine_pct_2019,GDP_Mine_pct_2020,GDP_Mine_pct_2021,GDP_Retl_pct_2019,GDP_Retl_pct_2020,GDP_Retl_pct_2021,GDP_Manu_pct_2019,GDP_Manu_pct_2020,GDP_Manu_pct_2021,GDP_Info_pct_2019,GDP_Info_pct_2020,GDP_Info_pct_2021,GDP_FinS_pct_2019,GDP_FinS_pct_2020,GDP_FinS_pct_2021,GDP_EduS_pct_2019,GDP_EduS_pct_2020,GDP_EduS_pct_2021,GDP_EntS_pct_2019,GDP_EntS_pct_2020,GDP_EntS_pct_2021,GDP_Gvmt_pct_2019,GDP_Gvmt_pct_2020,GDP_Gvmt_pct_2021,GDP_GoMn_pct_2019,GDP_GoMn_pct_2020,GDP_GoMn_pct_2021,GDP_GoTr_pct_2019,GDP_GoTr_pct_2020,GDP_GoTr_pct_2021,GDP_GoMf_pct_2019,GDP_GoMf_pct_2020,GDP_GoMf_pct_2021
01001,2.38,2.64,1.59,1.04,1.16,1.2,6.44,6.59,6.77,14.55,14.18,14.67,3.66,3.38,3.73,16.4,15.77,16.22,5.46,5.56,6.16,2.62,2.4,2.87,12.55,11.05,10.92,3.43,3.82,2.81,21.88,23.69,21.98,17.74,17.13,17.92
01003,0.33,0.55,0.43,0.19,0.18,0.18,12.42,12.17,11.39,6.89,5.8,5.83,2.08,2.15,2.3,29.35,30.3,31.07,9.22,8.95,8.65,7.45,6.64,7.4,10.01,10.49,9.76,0.52,0.78,0.63,2.15,2.29,2.1,8.86,7.78,7.93
01005,9.4,5.69,9.57,4.78,3.58,3.22,7.85,7.7,7.44,26.04,28.08,25.72,0.85,0.9,0.96,13.91,13.6,14.27,5.54,5.55,5.69,2.3,2.22,2.36,14.34,15.29,14.65,14.28,9.47,12.77,5.56,5.66,-0.0,26.88,28.97,26.63
01007,1.24,1.2,0.97,0.31,0.34,0.32,7.35,7.21,7.37,10.78,10.75,12.1,-0.0,-0.0,-0.0,13.38,12.11,12.74,7.11,7.16,7.88,1.38,1.14,1.34,21.11,21.27,20.84,1.57,1.55,1.28,3.01,5.17,4.96,-0.0,-0.0,-0.0
01009,8.56,1.58,10.67,0.19,0.24,0.12,7.41,7.84,6.96,10.94,11.18,10.76,3.31,2.98,2.81,25.09,26.61,26.44,-0.0,-0.0,-0.0,2.01,1.94,2.01,14.52,15.71,13.89,9.17,1.99,11.43,-0.0,-0.0,-0.0,13.94,13.93,13.36
01011,17.16,-0.0,13.35,0.0,0.0,-0.0,4.7,4.65,4.89,-0.0,22.65,25.56,-0.0,-0.0,-0.0,13.81,12.92,14.6,10.11,10.34,10.27,1.16,1.09,1.37,16.74,16.79,17.02,17.16,-0.0,-0.0,-0.0,-0.0,-0.0,26.25,-0.0,-0.0
01013,8.12,2.67,11.16,0.0,0.0,0.0,7.94,8.12,7.35,27.53,33.0,32.61,2.6,2.71,2.68,11.15,10.52,9.66,7.56,7.34,6.96,3.31,2.76,2.91,9.34,9.71,8.7,8.12,2.67,11.16,8.46,8.13,7.29,30.42,36.15,35.71
01015,0.51,0.24,0.92,0.05,0.04,0.04,8.54,8.61,8.14,23.92,23.2,25.35,2.64,2.77,2.77,12.03,11.64,11.36,6.29,6.19,5.9,3.06,2.75,3.03,25.05,25.95,24.41,0.56,0.29,0.95,2.66,2.58,2.29,26.63,26.01,28.2
01017,3.83,4.68,2.78,0.0,0.0,0.0,7.06,7.17,6.64,34.08,33.29,37.13,1.66,1.73,2.03,16.18,15.82,16.01,4.87,4.79,4.7,-0.0,-0.0,-0.0,15.07,15.18,13.85,3.81,4.67,2.77,-0.0,4.64,-0.0,35.7,34.95,39.07
01019,13.22,6.18,12.22,0.0,0.0,0.0,9.51,10.25,8.99,16.24,17.05,18.72,0.94,1.11,1.1,20.65,20.54,19.28,-0.0,-0.0,-0.0,2.05,2.07,2.25,15.63,17.36,15.33,13.22,6.18,12.22,-0.0,-0.0,-0.0,17.17,18.12,19.8
01021,1.07,1.1,1.06,0.05,0.03,0.02,10.44,10.38,10.04,24.96,24.69,24.93,3.95,5.83,6.15,15.99,15.64,15.93,6.86,6.36,5.65,2.35,2.13,2.39,12.62,12.71,12.38,1.15,1.17,1.12,-0.0,-0.0,-0.0,28.37,29.56,30.03
01023,6.05,6.3,5.11,2.68,1.88,2.43,4.2,4.03,3.9,-0.0,-0.0,-0.0,0.73,0.74,0.72,9.35,9.18,10.03,4.38,4.17,-0.0,-0.0,-0.0,0.66,6.0,5.88,5.73,9.33,9.23,8.05,8.82,9.32,9.13,-0.0,-0.0,-0.0
01025,3.33,4.12,3.59,1.53,1.73,2.47,9.82,9.46,9.29,35.28,36.66,35.64,0.71,0.65,0.66,13.82,13.31,14.39,6.25,6.24,5.93,2.28,1.97,2.14,14.52,14.2,14.14,4.97,6.02,5.98,3.82,3.65,3.44,36.01,37.35,36.33
01027,-0.0,2.68,9.4,0.0,0.0,0.0,4.11,4.19,3.91,48.69,50.38,48.73,0.88,1.01,1.09,12.13,11.54,11.23,3.66,3.67,3.3,-0.0,-0.0,-0.0,12.97,13.51,12.26,-0.0,2.69,9.44,2.18,2.12,1.65,49.74,51.54,49.93
01029,18.56,6.61,21.42,0.26,0.3,0.13,8.85,10.59,10.0,16.36,20.05,12.66,-0.0,0.97,1.19,15.69,15.3,14.11,1.5,1.93,2.07,1.28,1.25,1.21,17.98,19.05,17.66,18.89,6.93,21.78,-0.0,-0.0,-0.0,-0.0,21.04,13.86
01031,8.54,4.53,10.38,0.0,0.0,0.0,10.01,9.89,8.92,18.93,18.2,18.23,0.88,0.88,0.88,13.68,13.65,12.51,-0.0,8.82,8.15,3.38,3.21,3.35,14.47,15.12,13.89,8.54,4.52,10.38,-0.0,1.96,1.68,19.81,19.07,19.11
01033,0.14,-0.0,0.96,1.09,1.15,-0.0,8.38,8.45,7.99,38.17,37.98,36.02,1.25,1.45,1.66,10.23,10.28,10.55,5.49,5.36,5.41,1.99,1.77,1.94,15.36,15.94,15.96,1.23,-0.0,-0.0,-0.0,-0.0,-0.0,39.37,39.36,37.57
01035,7.41,7.34,5.89,37.01,36.51,35.54,4.14,5.03,5.32,7.28,7.43,8.12,0.58,0.61,0.91,8.43,8.58,9.26,4.82,4.86,4.69,1.58,1.26,1.37,9.62,9.87,9.4,45.65,45.1,41.56,7.65,7.06,6.82,7.81,7.98,8.92
01037,-0.0,-0.0,1.2,0.0,0.0,-0.0,2.76,2.91,2.92,31.09,30.13,31.08,-0.0,-0.0,-0.0,-0.0,25.49,25.85,2.39,2.44,2.26,1.9,1.52,-0.0,13.09,12.39,11.94,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
01039,5.92,3.52,6.43,0.25,0.2,0.19,9.82,9.46,8.87,15.85,18.36,20.75,1.43,1.35,1.4,13.43,12.47,12.1,7.98,7.85,7.73,2.12,1.91,2.17,12.87,12.27,11.55,6.18,3.73,6.65,15.49,18.03,15.62,17.33,19.82,22.3
01041,18.6,9.57,20.7,0.0,0.0,0.0,3.02,3.8,3.0,32.26,32.14,33.45,0.79,-0.0,-0.0,10.16,10.98,9.51,5.01,5.49,4.7,1.24,1.32,1.4,8.98,10.91,9.08,18.6,9.57,20.7,-0.0,-0.0,-0.0,32.93,-0.0,-0.0
01043,3.87,0.61,6.93,0.09,0.1,0.17,9.69,9.59,8.72,23.14,23.7,23.74,1.72,1.8,1.78,15.22,16.17,16.09,8.78,8.96,8.46,3.02,2.77,2.85,10.57,10.86,9.82,4.0,0.76,7.18,5.94,6.13,5.68,24.77,25.39,25.42
