Airport_Name,Abriviation,City,Country,Traffic,Latitude,Longitude
Hartsfield–Jackson Atlanta International Airport,ATL,Atlanta,United States,"103,902,992",33.6407,-84.4277
Los Angeles International Airport,LAX,Los Angeles,United States,"84,557,968",33.9416,-118.4085
O'Hare International Airport,ORD,Chicago,United States,"79,828,183",41.9803,-87.909
Dallas-Fort Worth International Airport,DFW,Dallas,United States,"67,092,194",32.8998,-97.0403
Denver International Airport,DEN,Denver,United States,"61,379,396",39.8564,-104.6764
John F. Kennedy International Airport,JFK,New York,United States,"59,392,500",40.6413,-73.7781
San Francisco International Airport,SFO,San Francisco,United States,"55,822,129",37.6213,-122.379
McCarran International Airport,LAS,Las Vegas,United States,"48,566,803",36.084,-115.1537
Seattle–Tacoma International Airport,SEA,Seattle,United States,"46,934,194",47.448,-122.3088
Charlotte Douglas International Airport,CLT,Charlotte,United States,"45,909,899",35.2144,-80.9473
Orlando International Airport,MCO,Orlando,United States,"44,511,265",28.4177,-81.3071
Miami International Airport,MIA,Miami,United States,"44,071,313",25.7959,-80.2871
Phoenix Sky Harbor International Airport,PHX,Phoenix,United States,"43,921,670",33.4359,-111.9983
Newark Liberty International Airport,EWR,Newark,United States,"43,393,499",40.6895,-74.1745
George Bush Intercontinental Houston Airport,IAH,Houston,United States,"40,696,189",29.9902,-95.3368
St Paul International Airport,MSP,Minneapolis,United States,"38,034,341",44.8848,-93.2223
Logan International Airport,BOS,Boston,United States,"36,288,042",42.3656,-71.0096
Detroit Metropolitan Wayne County Airport,DTW,Detroit,United States,"34,701,497",42.2162,-83.3554
Fort Lauderdale Hollywood International Airport,FLL,Fort Lauderdale,United States,"32,511,053",26.0742,-80.1506
Orlando Executive Airport,ORL,Orlando,United States,"32,042,475",28.5462,-81.3322
LaGuardia Airport,LGA,New York,United States,"29,786,769",40.7769,-73.874
Philadelphia International Airport,PHL,Philadelphia,United States,"29,585,754",39.8729,-75.2437
Washington International Thurgood Marshall Airport,BWI,Baltimore,United States,"26,369,411",39.1774,-76.6684
Salt Lake City International Airport,SLC,Salt Lake City,United States,"24,198,816",40.7899,-111.9791
