Hartsfield–Jackson Atlanta International Airport,ATL,Atlanta,United States,"103,902,992"
Los Angeles International Airport,LAX,Los Angeles,United States,"84,557,968"
O'Hare International Airport,ORD,Chicago,United States,"79,828,183"
Dallas-Fort Worth International Airport,DFW,Dallas,United States,"67,092,194"
Denver International Airport,DEN,Denver,United States,"61,379,396"
John F. Kennedy International Airport,JFK,New York,United States,"59,392,500"
San Francisco International Airport,SFO,San Francisco,United States,"55,822,129"
McCarran International Airport,LAS,Las Vegas,United States,"48,566,803"
Seattle–Tacoma International Airport,SEA,Seattle,United States,"46,934,194"
Charlotte Douglas International Airport,CLT,Charlotte,United States,"45,909,899"
Orlando International Airport,MCO,Orlando,United States,"44,511,265"
Miami International Airport,MIA,Miami,United States,"44,071,313"
Phoenix Sky Harbor International Airport,PHX,Phoenix,United States,"43,921,670"
Newark Liberty International Airport,EWR,Newark,United States,"43,393,499"
George Bush Intercontinental Houston Airport,IAH,Houston,United States,"40,696,189"
St Paul International Airport,MSP,Minneapolis,United States,"38,034,341"
Logan International Airport,BOS,Boston,United States,"36,288,042"
Detroit Metropolitan Wayne County Airport,DTW,Detroit,United States,"34,701,497"
Fort Lauderdale Hollywood International Airport,FLL,Fort Lauderdale,United States,"32,511,053"
Orlando Executive Airport,ORL,Orlando,United States,"32,042,475"
LaGuardia Airport,LGA,New York,United States,"29,786,769"
Philadelphia International Airport,PHL,Philadelphia,United States,"29,585,754"
Washington International Thurgood Marshall Airport,BWI,Baltimore,United States,"26,369,411"
Salt Lake City International Airport,SLC,Salt Lake City,United States,"24,198,816"
Ronald Reagan Washington National Airport,DCA,Washington,United States,"23,928,248"
Washington Dulles International Airport,IAD,Washington,United States,"22,892,504"
Midway International Airport,MDW,Chicago,United States,"22,460,236"
San Diego International Airport,SAN,San Diego,United States,"22,173,493"
Daniel K. Inouye International Airport,HNL,Honolulu,United States,"19,950,125"
Tampa International Airport,TPA,Tampa,United States,"19,624,284"
Portland International Airport,PDX,Portland,United States,"19,080,454"
Dallas Love Field,DAL,Dallas,United States,"15,562,738"
Lambert St Louis International Airport,STL,St. Louis,United States,"14,730,656"
Nashville International Airport,BNA,Nashville,United States,"14,134,448"
Austin Bergstrom International Airport,AUS,Austin,United States,"13,889,305"
William P Hobby Airport,HOU,Houston,United States,"13,435,672"
Metropolitan Oakland International Airport,OAK,Oakland,United States,"13,072,245"
Norman Y. Mineta San Jose International Airport,SJC,San Jose,United States,"12,480,232"
Louis Armstrong New Orleans International Airport,MSY,New Orleans,United States,"12,009,512"
Raleigh–Durham International Airport,RDU,Raleigh,United States,"11,653,086"
Kansas City International Airport,MCI,Kansas City,United States,"11,503,936"
Sacramento International Airport,SMF,Sacramento,United States,"10,912,097"
John Wayne Airport-Orange County Airport,SNA,Santa Ana,United States,"10,423,578"
Cleveland Hopkins International Airport,CLE,Cleveland,United States,"9,140,445"
San Antonio International Airport,SAT,San Antonio,United States,"9,050,000"
Pittsburgh International Airport,PIT,Pittsburgh,United States,"8,988,016"
Southwest Florida International Airport,RSW,Fort Myers,United States,"8,842,549"
Indianapolis International Airport,IND,Indianapolis,United States,"8,770,308"
Cincinnati Northern Kentucky International Airport,CVG,Cincinnati,United States,"7,842,149"
Port Columbus International Airport,CMH,Columbus,United States,"7,500,000"
Bradley International Airport,BDL,Windsor Locks,United States,"6,436,407"
Palm Beach International Airport,PBI,West Palm Beach,United States,"6,322,452"
Jacksonville International Airport,JAX,Jacksonville,United States,"5,591,886"
Ted Stevens Anchorage International Airport,ANC,Anchorage,United States,"4,966,000"
Albuquerque International Sunport Airport,ABQ,Albuquerque,United States,"4,958,417"
Buffalo Niagara International Airport,BUF,Buffalo,United States,"4,726,000"
Eppley Airfield,OMA,Omaha,United States,"4,611,906"
Ontario International Airport,ONT,Ontario,United States,"4,217,366"
T. F. Green Airport,PVD,Providence,United States,"3,937,947"
General Mitchell International Airport,MKE,Milwaukee,United States,"3,350,000"
Kona International At Keahole Airport,KOA,Kona,United States,"3,088,641"
Long Beach Airport,LGB,Long Beach,United States,"2,852,294"
Lihue Airport,LIH,Lihue,United States,"2,832,281"
El Paso International Airport,ELP,El Paso,United States,"2,807,734"
Orlando Sanford International Airport,SFB,Sanford,United States,"2,752,410"
Albany International Airport,ALB,Albany,United States,"2,393,506"
Bob Hope Airport,BUR,Burbank,United States,"2,282,000"
Palm Springs International Airport,PSP,Palm Springs,United States,"1,998,206"
Syracuse Hancock International Airport,SYR,Syracuse,United States,"1,951,370"
Portland International Jetport Airport,PWM,Portland,United States,"1,785,649"
Pensacola Regional Airport,PNS,Pensacola,United States,"1,650,000"
Manchester Airport,MHT,Manchester NH,United States,"1,630,000"
Westchester County Airport,HPN,White Plains,United States,"1,468,851"
Hilo International Airport,ITO,Hilo,United States,"1,327,245"
Sarasota Bradenton International Airport,SRQ,Sarasota,United States,"1,186,419"
Greater Rochester International Airport,ROC,Rochester,United States,"1,186,002"
Burlington International Airport,BTV,Burlington,United States,"1,151,000"
St Petersburg Clearwater International Airport,PIE,St. Petersburg,United States,"965,000"
Northwest Florida Beaches International Airport,ECP,Panama City,United States,"910,000"
Fresno Yosemite International Airport,FAT,Fresno,United States,"805,252"
Mc Allen Miller International Airport,MFE,Mcallen,United States,"714,067"
Tallahassee Regional Airport,TLH,Tallahassee,United States,"692,724"
Rick Husband Amarillo International Airport,AMA,Amarillo,United States,"679,653"
Santa Barbara Municipal Airport,SBA,Santa Barbara,United States,"658,955"
Long Island Mac Arthur Airport,ISP,Islip,United States,"620,000"
