Alabama,AL,040,01000,4779736,4785514,4799642,4816632,4831586,4843737,4854803,4866824,4877989,4891628,4907965,4921532,5396,14128,16990,14954,12151,11066,12021,11165,13639,16337,13567,136018,2.8,14202,59699,59074,57943,58914,59653,59695,58644,58665,57251,56739,11077,48837,48363,50853,49720,51878,51711,53196,54560,54038,58354,3125,10862,10711,7090,9194,7775,7984,5448,4105,3213,-1615,1053,5162,6282,5494,4159,5095,6301,3546,3940,2293,2078,1225,-1903,-114,2294,-996,-1553,-2148,2287,5664,10828,13115,2278,3259,6168,7788,3163,3542,4153,5833,9604,13121,15193,-7,7,111,76,-206,-251,-116,-116,-70,3,-11,116185,116242,115184,115810,116946,119052,119980,118641,117111,116600,116778,116767,12.45655261,12.28625557,12.01112993,12.17819808,12.30143919,12.28086616,12.03594158,12.00968267,11.68436281,11.54463957,10.19013149,10.05857362,10.54142848,10.27769306,10.69810508,10.63834274,10.91780827,11.16932220,11.02862129,11.87324234,2.26642112,2.22768195,1.46970145,1.90050503,1.60333411,1.64252342,1.11813331,0.84036048,0.65574152,-0.32860278,1.07708210,1.30653515,1.13886316,0.85971290,1.05067361,1.29628508,0.72777179,0.80658228,0.46797862,0.42280902,-0.39707231,-0.02370981,0.47552823,-0.20588460,-0.32025439,-0.44190134,0.46937791,1.15951321,2.20988770,2.66849870,0.68000980,1.28282534,1.61439138,0.65382830,0.73041922,0.85438374,1.19714970,1.96609550,2.67786632,3.09130772,586277,521510,64767,44350,27474,71824
Autauga County,AL,050,01001,54571,54761,55229,54970,54747,54922,54903,55302,55448,55533,55769,56145,179,468,-259,-223,175,-19,399,146,85,236,376,1384,2.5,151,639,615,570,637,652,675,667,651,592,606,157,514,560,584,572,585,547,574,563,552,582,-6,125,55,-14,65,67,128,93,88,40,24,28,16,0,19,19,23,7,-3,2,-14,-8,147,327,-329,-226,102,-107,266,58,-3,208,360,175,343,-329,-207,121,-84,273,55,-1,194,352,10,0,15,-2,-11,-2,-2,-2,-2,2,0,455,455,455,455,455,455,455,455,455,455,455,455,11.61923811,11.16162579,10.39036795,11.61677411,11.87343501,12.24989792,12.04514673,11.73173787,10.63772439,10.82974427,9.34630421,10.16343161,10.64556997,10.43138900,10.65331209,9.92695431,10.36568849,10.14588083,9.91895923,10.40084351,2.27293390,0.99819418,-0.25520202,1.18538511,1.22012292,2.32294361,1.67945824,1.58585704,0.71876516,0.42890076,0.29093554,0.00000000,0.34634560,0.34649719,0.41884817,0.12703598,-0.05417607,0.03604221,-0.25156781,-0.14296692,5.94599509,-5.97101607,-4.11968975,1.86014279,-1.94855452,4.82736718,1.04740406,-0.05406331,3.73757884,6.43351145,6.23693063,-5.97101607,-3.77334415,2.20663998,-1.52970635,4.95440316,0.99322799,-0.01802110,3.48601103,6.29054453,6304,5633,671,61,656,717
Baldwin County,AL,050,01003,182265,183121,186579,190203,194978,199306,203101,207787,212737,218071,223565,229287,858,3458,3624,4775,4328,3795,4686,4950,5334,5494,5722,46166,25.2,514,2186,2092,2162,2215,2261,2286,2313,2297,2322,2317,534,1829,1883,1902,1988,2099,2021,2103,2325,2386,2543,-20,357,209,260,227,162,265,210,-28,-64,-226,51,192,273,240,141,165,211,104,118,63,60,780,2896,3056,4175,3861,3437,4193,4622,5234,5511,5918,831,3088,3329,4415,4002,3602,4404,4726,5352,5574,5978,47,13,86,100,99,31,17,14,10,-16,-30,2307,2307,2263,2242,2296,2331,2337,2276,2192,2171,2268,2268,11.82580471,11.10456444,11.22589120,11.23555610,11.23737907,11.12711980,11.00056121,10.66368313,10.51544711,10.23292378,9.89450906,9.99516962,9.87587654,10.08410182,10.43222409,9.83723058,10.00180727,10.79367143,10.80527856,11.23104237,1.93129565,1.10939482,1.35001467,1.15145428,0.80515498,1.28988922,0.99875394,-0.12998830,-0.28983145,-0.99811859,1.03868001,1.44911381,1.24616739,0.71522050,0.82006526,1.02704387,0.49462100,0.54780784,0.28530283,0.26498724,15.66675683,16.22158171,21.67812016,19.58486776,17.08220781,20.40945465,21.98209853,24.29852742,24.95720458,26.13657442,16.70543684,17.67069552,22.92428754,20.30008826,17.90227307,21.43649851,22.47671952,24.84633526,25.24250740,26.40156166,22451,21079,1372,1567,42903,44470
Barbour County,AL,050,01005,27457,27325,27344,27172,26946,26768,26300,25828,25169,24887,24657,24589,-129,19,-172,-226,-178,-468,-472,-659,-282,-230,-68,-2736,-10.0,70,335,301,284,265,274,284,276,273,248,250,131,324,286,293,308,332,279,297,335,322,334,-61,11,15,-9,-43,-58,5,-21,-62,-74,-84,0,-5,-11,-8,5,13,13,9,8,6,6,-69,14,-176,-211,-141,-429,-492,-650,-228,-161,10,-69,9,-187,-219,-136,-416,-479,-641,-220,-155,16,1,-1,0,2,1,6,2,3,0,-1,0,3193,3193,3381,3391,3388,3353,3195,2977,2819,2813,2778,2777,12.25557446,11.04262969,10.49558372,9.86707376,10.32637371,10.89625537,10.82416613,10.90778328,10.01130308,10.15310888,11.85315261,10.49233253,10.82819025,11.46814611,12.51224844,10.70441989,11.64774399,13.38500879,12.99854675,13.56455347,0.40242185,0.55029716,-0.33260653,-1.60107235,-2.18587473,0.19183548,-0.82357786,-2.47722551,-2.98724366,-3.41144458,-0.18291902,-0.40355125,-0.29565025,0.18617120,0.48993744,0.49877225,0.35296194,0.31964200,0.24220895,0.24367461,0.51217326,-6.45682002,-7.79777523,-5.25002793,-16.16793548,-18.87661142,-25.49169559,-9.10979703,-6.49927337,0.40612436,0.32925424,-6.86037127,-8.09342548,-5.06385672,-15.67799804,-18.37783917,-25.13873365,-8.79015503,-6.25706443,0.64979897,2790,3110,-320,36,-2464,-2428
Bibb County,AL,050,01007,22915,22858,22736,22657,22510,22541,22553,22590,22532,22300,22313,22136,-46,-122,-79,-147,31,12,37,-58,-232,13,-177,-722,-3.2,44,265,245,258,253,252,299,267,243,238,249,32,277,236,276,250,266,243,251,314,232,266,12,-12,9,-18,3,-14,56,16,-71,6,-17,0,12,19,20,14,14,11,7,8,7,6,-59,-124,-105,-151,18,15,-30,-80,-171,-1,-166,-59,-112,-86,-131,32,29,-19,-73,-163,6,-160,1,2,-2,2,-4,-3,0,-1,2,1,0,2224,2224,2224,2228,2224,2247,2255,2204,2153,2147,2122,2121,11.62433654,10.79461591,11.42426993,11.23171517,11.17665321,13.24679352,11.83458180,10.84047109,10.66953579,11.20385161,12.15072159,10.39807900,12.22131202,11.09853277,11.79757839,10.76578872,11.12539338,14.00785154,10.40055589,11.96877320,-0.52638505,0.39653691,-0.79704209,0.13318239,-0.62092518,2.48100481,0.70918842,-3.16738044,0.26897989,-0.76492160,0.52638505,0.83713348,0.88560232,0.62151784,0.62092518,0.48734023,0.31026993,0.35688794,0.31380988,0.26997233,-5.43931219,-4.62626396,-6.68629752,0.79909436,0.66527698,-1.32910972,-3.54594211,-7.62847966,-0.04482998,-7.46923440,-4.91292714,-3.78913048,-5.80069520,1.42061220,1.28620216,-0.84176949,-3.23567218,-7.27159172,0.26897989,-7.19926208,2569,2611,-42,118,-795,-677
Blount County,AL,050,01009,57322,57372,57561,57585,57630,57536,57535,57487,57801,57770,57840,57879,50,189,24,45,-94,-1,-48,314,-31,70,39,507,0.9,181,741,714,647,620,715,675,681,675,673,665,132,569,587,582,591,634,651,721,718,658,697,49,172,127,65,29,81,24,-40,-43,15,-32,-2,-8,8,49,43,15,32,0,4,-4,1,9,28,-100,-65,-158,-90,-102,357,10,58,68,7,20,-92,-16,-115,-75,-70,357,14,54,69,-6,-3,-11,-4,-8,-7,-2,-3,-2,1,2,489,489,489,489,489,489,489,489,489,489,489,489,12.89446895,12.40164661,11.23117650,10.76706667,12.42711022,11.73688512,11.81389217,11.68113108,11.64259147,11.49335891,9.90142083,10.19575148,10.10285119,10.26344581,11.01928375,11.31957365,12.50780654,12.42526239,11.38309835,12.04642280,2.99304812,2.20589512,1.12832530,0.50362086,1.40782647,0.41731147,-0.69391437,-0.74413131,0.25949312,-0.55306389,-0.13921154,0.13895402,0.85058369,0.74674817,0.26070861,0.55641529,0.00000000,0.06922152,-0.06919817,0.01728325,0.48724039,-1.73692530,-1.12832531,-2.74386538,-1.56425164,-1.77357375,6.19318576,0.17305379,1.00337341,1.17526076,0.34802885,-1.59797127,-0.27774161,-1.99711721,-1.30354303,-1.21715846,6.19318576,0.24227531,0.93417524,1.19254401,6806,6408,398,140,6,146
Bullock County,AL,050,01011,10914,10876,10680,10610,10557,10668,10404,10397,10181,10165,10144,9976,-37,-196,-70,-53,111,-264,-7,-216,-16,-21,-168,-900,-8.3,37,172,121,131,123,124,147,129,112,110,114,53,133,117,119,116,133,131,143,120,95,116,-16,39,4,12,7,-9,16,-14,-8,15,-2,1,19,8,18,6,1,8,10,14,1,5,-24,-255,-81,-83,94,-260,-31,-213,-23,-37,-170,-23,-236,-73,-65,100,-259,-23,-203,-9,-36,-165,2,1,-1,0,4,4,0,1,1,0,-1,1690,1690,1690,1779,1719,1757,1661,1729,1662,1663,1705,1704,15.95843385,11.36683889,12.37775783,11.59010601,11.76917236,14.13393587,12.53766158,11.00953504,10.83263578,11.33200795,12.33995175,10.99107562,11.24391742,10.93050648,12.62338648,12.59554829,13.89833803,11.79593040,9.35545817,11.53081511,3.61848209,0.37576327,1.13384041,0.65959953,-0.85421412,1.53838758,-1.36067645,-0.78639536,1.47717761,-0.19880716,1.76285025,0.75152654,1.70076062,0.56537102,0.09491268,0.76919379,0.97191175,1.37619188,0.09847851,0.49701789,-23.65930599,-7.60920620,-7.84239618,8.85747939,-24.67729689,-2.98062593,-20.70172028,-2.26088666,-3.64370476,-16.89860835,-21.89645574,-6.85767966,-6.14163557,9.42285041,-24.58238421,-2.21143214,-19.72980853,-0.88469478,-3.54522625,-16.40159046,1283,1223,60,90,-1059,-969
Butler County,AL,050,01013,20947,20933,20867,20672,20359,20332,20168,20040,19911,19675,19501,19504,-7,-66,-195,-313,-27,-164,-128,-129,-236,-174,3,-1429,-6.8,66,273,242,240,252,238,236,239,220,205,200,66,264,274,262,287,276,253,269,272,272,266,0,9,-32,-22,-35,-38,-17,-30,-52,-67,-66,0,2,6,8,22,28,44,23,21,19,16,-4,-77,-170,-304,-11,-153,-154,-121,-205,-124,52,-4,-75,-164,-296,11,-125,-110,-98,-184,-105,68,-3,0,1,5,-3,-1,-1,-1,0,-2,1,333,333,333,333,333,333,333,333,333,333,333,333,13.06220096,11.65170081,11.69847189,12.38603131,11.75308642,11.73895742,11.96465670,11.11504067,10.46559118,10.25509550,12.63157895,13.19242158,12.77083181,14.10631344,13.62962963,12.58456029,13.46649646,13.74223210,13.88605269,13.63927702,0.43062201,-1.54072077,-1.07235992,-1.72028213,-1.87654321,-0.84560287,-1.50183975,-2.62719143,-3.42046151,-3.38418152,0.09569378,0.28888514,0.38994906,1.08132019,1.38271605,2.18861918,1.15141048,1.06098116,0.96998162,0.82040764,-3.68421053,-8.18507908,-14.81806439,-0.54066010,-7.55555556,-7.66016713,-6.05742034,-10.35719699,-6.33040637,2.66632483,-3.58851675,-7.89619394,-14.42811533,0.54066010,-6.17283951,-5.47154795,-4.90600986,-9.29621583,-5.36042475,3.48673247,2345,2695,-350,189,-1267,-1078
Calhoun County,AL,050,01015,118572,118420,117767,117227,116528,115991,115550,115036,114746,114298,114070,113469,-113,-653,-540,-699,-537,-441,-514,-290,-448,-228,-601,-4951,-4.2,316,1384,1356,1307,1316,1386,1365,1338,1287,1271,1230,311,1325,1359,1411,1395,1455,1475,1393,1645,1486,1553,5,59,-3,-104,-79,-69,-110,-55,-358,-215,-323,3,39,81,68,84,77,98,31,50,-1,10,-113,-752,-607,-660,-533,-441,-500,-260,-136,-15,-289,-110,-713,-526,-592,-449,-364,-402,-229,-86,-16,-279,-8,1,-11,-3,-9,-8,-2,-6,-4,3,1,2933,2933,2882,2958,2813,2799,2774,2762,2743,2830,3286,3285,11.71952732,11.54072019,11.18264850,11.31950507,11.97196177,11.83940048,11.64582082,11.23801540,11.13115673,10.81133344,11.21992320,11.56625276,12.07246904,11.99901944,12.56796852,12.79349137,12.12453543,14.36405232,13.01408253,13.65040718,0.49960413,-0.02553257,-0.88982054,-0.67951436,-0.59600676,-0.95409088,-0.47871461,-3.12603692,-1.88292580,-2.83907374,0.33024680,0.68937930,0.58180574,0.72252160,0.66510899,0.85000824,0.26982096,0.43659734,-0.00875779,0.08789702,-6.36783566,-5.16608935,-5.64693803,-4.58457158,-3.80926056,-4.33677673,-2.26301451,-1.18754475,-0.13136692,-2.54022387,-6.03758886,-4.47671004,-5.06513230,-3.86204998,-3.14415158,-3.48676849,-1.99319355,-0.75094742,-0.14012471,-2.45232685,13240,14497,-1257,537,-4193,-3656
Chambers County,AL,050,01017,34215,34105,34016,34088,34125,33964,33991,33742,33716,33570,33244,32865,-49,-89,72,37,-161,27,-249,-26,-146,-326,-379,-1240,-3.6,81,400,392,407,425,422,387,380,344,362,334,80,442,476,454,455,445,444,485,415,449,519,1,-42,-84,-47,-30,-23,-57,-105,-71,-87,-185,6,28,34,29,32,21,18,18,19,16,13,-54,-74,122,57,-158,31,-209,65,-93,-255,-208,-48,-46,156,86,-126,52,-191,83,-74,-239,-195,-2,-1,0,-2,-5,-2,-1,-4,-1,0,1,458,458,458,458,458,458,458,458,458,458,458,458,11.74380881,11.51180547,11.93320921,12.48366109,12.41998381,11.42722159,11.26626938,10.22500966,10.83605232,10.10452435,12.97690874,13.97862093,13.31124566,13.36486070,13.09690236,13.11030074,14.37931750,12.33540410,13.44029694,15.70134172,-1.23309993,-2.46681546,-1.37803645,-0.88119961,-0.67691855,-1.68307915,-3.11304812,-2.11039444,-2.60424462,-5.59681738,0.82206662,0.99847292,0.85027781,0.93994625,0.61805607,0.53149868,0.53366539,0.56475344,0.47894154,0.39328987,-2.17260463,3.58275579,1.67123569,-4.64098459,0.91236848,-6.17129021,1.92712503,-2.76431947,-7.63313078,-6.29263792,-1.35053801,4.58122871,2.52151349,-3.70103835,1.53042455,-5.63979153,2.46079042,-2.19956603,-7.15418924,-5.89934805,3853,4584,-731,228,-722,-494
