DATE,PI
2019-01-01,18254.2
2019-02-01,18348.5
2019-03-01,18433.4
2019-04-01,18475.5
2019-05-01,18500.0
2019-06-01,18539.1
2019-07-01,18573.3
2019-08-01,18670.6
2019-09-01,18722.6
2019-10-01,18791.9
2019-11-01,18880.2
2019-12-01,18854.8
2020-01-01,19065.2
2020-02-01,19197.0
2020-03-01,18838.8
2020-04-01,21050.3
2020-05-01,20216.6
2020-06-01,20171.3
2020-07-01,20379.3
2020-08-01,19773.2
2020-09-01,19905.2
2020-10-01,19878.9
2020-11-01,19692.2
2020-12-01,19819.7
2021-01-01,21725.4
2021-02-01,20189.4
2021-03-01,24371.9
2021-04-01,21180.9
2021-05-01,20769.3
2021-06-01,20798.9
2021-07-01,21023.3
2021-08-01,21082.7
2021-09-01,20909.7
2021-10-01,21073.0
2021-11-01,21176.6
2021-12-01,21236.8
2022-01-01,21205.7
2022-02-01,21319.5
2022-03-01,21434.3
2022-04-01,21474.1
2022-05-01,21573.6
2022-06-01,21687.0
2022-07-01,21781.7
2022-08-01,21859.9
2022-09-01,21942.6
2022-10-01,22118.2
2022-11-01,22174.8
2022-12-01,22224.3
